T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,2657,0.051,0.677,0,0.0000000303
1.5,2657,0.0773,1.06,0,0.0000000303
2,2657,0.108,1.45,0,0.0000000303
2.5,2657,0.143,1.85,0,0.0000000303
3,2657,0.184,2.27,0,0.0000000303
3.5,2657,0.229,2.69,0,0.0000000303
4,2657,0.28,3.12,0,0.0000000303
4.5,2657,0.337,3.56,0,0.0000000303
5,2657,0.388,4,0,0.0000000303
5.5,2657,0.448,4.44,0,0.0000000303
6,2657,0.515,4.89,0,0.0000000303
6.5,2657,0.59,5.35,0,0.0000000303
7,2657,0.673,5.8,0,0.0000000303
7.5,2657,0.765,6.26,0,0.0000000303
8,2657,0.867,6.73,0,0.0000000303
8.5,2657,0.981,7.19,0,0.0000000303
9,2657,1.11,7.66,0,0.0000000303
9.5,2657,1.25,8.14,0,0.0000000303
10,2657,1.4,8.6,0,0.0000000303
10.5,2657,1.56,9.06,0,0.0000000303
11,2657,1.74,9.52,7.512129504E-09,0.0000000303
11.5,2657,1.93,9.98,3.791115214E-08,0.0000000303
12,2657,2.14,10.4,6.909846892E-08,0.0000000303
12.5,2657,2.37,10.9,0.0000001010656954,0.0000000303
13,2657,2.62,11.4,0.0000001338044824,0.0000000303
13.5,2657,2.89,11.8,0.0000001673065157,0.0000000303
14,2657,3.18,12.3,0.0000002015635163,0.0000000303
14.5,2657,3.5,12.8,0.0000002365672402,0.0000000303
15,2657,3.84,13.2,0.0000002723094784,0.0000000303
15.5,2657,4.21,13.7,0.0000003087820571,0.0000000303
16,2657,4.61,14.1,0.0000003459768371,0.0000000303
16.5,2657,5.03,14.6,0.0000003838857143,0.0000000303
17,2657,5.49,15.1,0.0000004225006197,0.0000000303
17.5,2657,5.97,15.5,0.0000004618135187,0.0000000303
18,2657,6.49,16,0.0000005018164118,0.0000000303
18.5,2657,7.04,16.4,0.0000005425013343,0.0000000303
