T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,2712.6,0.051,2.2,0,0.0000000138
1.5,2712.6,0.0773,3.46,0,0.0000000138
2,2712.6,0.108,4.7,0,0.0000000138
2.5,2712.6,0.143,5.93,0,0.0000000138
3,2712.6,0.184,7.14,0,0.0000000138
3.5,2712.6,0.229,8.34,0,0.0000000138
4,2712.6,0.28,9.53,0,0.0000000138
4.5,2712.6,0.337,10.7,0,0.0000000138
5,2712.6,0.388,11.9,0,0.0000000138
5.5,2712.6,0.448,13.1,0,0.0000000138
6,2712.6,0.515,14.3,0,0.0000000138
6.5,2712.6,0.59,15.5,0,0.0000000138
7,2712.6,0.673,16.6,0,0.0000000138
7.5,2712.6,0.765,17.8,0,0.0000000138
8,2712.6,0.867,19,0,0.0000000138
8.5,2712.6,0.981,20.2,0,0.0000000138
9,2712.6,1.11,21.4,0,0.0000000138
9.5,2712.6,1.25,22.5,0,0.0000000138
10,2712.6,1.4,23.8,0,0.0000000138
10.5,2712.6,1.56,25.1,0,0.0000000138
11,2712.6,1.74,26.4,0,0.0000000138
11.5,2712.6,1.93,27.7,0,0.0000000138
12,2712.6,2.14,29,0,0.0000000138
12.5,2712.6,2.37,30.3,0,0.0000000138
13,2712.6,2.62,31.7,0,0.0000000138
13.5,2712.6,2.89,33,0,0.0000000138
14,2712.6,3.18,34.3,0,0.0000000138
14.5,2712.6,3.5,35.7,0,0.0000000138
15,2712.6,3.84,37,0,0.0000000138
15.5,2712.6,4.21,38.3,0,0.0000000138
16,2712.6,4.61,39.7,0,0.0000000138
16.5,2712.6,5.03,41,0,0.0000000138
17,2712.6,5.49,42.3,0,0.0000000138
17.5,2712.6,5.97,43.6,0,0.0000000138
18,2712.6,6.49,45,1.231356358E-08,0.0000000138
18.5,2712.6,7.04,46.3,3.834550818E-08,0.0000000138
19,2712.6,7.62,47.5,6.630265832E-08,0.0000000138
19.5,2712.6,8.24,48.9,9.614609013E-08,0.0000000138
20,2712.6,8.9,50.1,0.0000001278373267,0.0000000139
20.5,2712.6,9.6,51.3,0.0000001613383351,0.0000000139
21,2712.6,10.3,52.4,0.0000001966115233,0.0000000139
21.5,2712.6,11.1,53.5,0.0000002336197368,0.0000000139
22,2712.6,11.9,54.6,0.0000002723262565,0.0000000139
22.5,2712.6,12.8,55.8,0.0000003126947946,0.0000000139
23,2712.6,13.7,56.8,0.0000003546894925,0.0000000139
23.5,2712.6,14.7,57.9,0.0000003982749172,0.0000000139
24,2712.6,15.7,59,0.0000004434160589,0.0000000139
24.5,2712.6,16.7,60.1,0.0000004900783273,0.0000000139
25,2712.6,17.8,61.1,0.0000005382275495,0.0000000139
25.5,2712.6,18.9,62.1,0.0000005878299664,0.0000000139
26,2712.6,20.1,63.2,0.0000006388522298,0.0000000139
26.5,2712.6,21.4,64.2,0.0000006912613999,0.0000000139
27,2712.6,22.6,65.2,0.0000007450249421,0.0000000139
27.5,2712.6,24,66.2,0.0000008001107241,0.0000000139
28,2712.6,25.4,67.2,0.000000856487013,0.0000000139
28.5,2712.6,26.8,68.1,0.0000009141224724,0.0000000139
29,2712.6,28.3,69.1,0.0000009729861596,0.0000000139
29.5,2712.6,29.8,70,0.000001033047523,0.0000000139
30,2712.6,31.5,71,0.000001094276398,0.000000014
30.5,2712.6,33.3,72,0.000001156643006,0.000000014
31,2712.6,35.1,72.9,0.00000122011795,0.000000014
31.5,2712.6,37,73.9,0.000001284672213,0.000000014
32,2712.6,39,74.9,0.000001350277155,0.000000014
32.5,2712.6,41,75.8,0.000001416904507,0.000000014
33,2712.6,43.1,76.7,0.000001484526376,0.000000014
33.5,2712.6,45.2,77.6,0.000001553115232,0.000000014
34,2712.6,47.4,78.6,0.000001622643913,0.000000014
34.5,2712.6,49.6,79.5,0.000001693085619,0.000000014
35,2712.6,51.9,80.3,0.000001764413911,0.000000014
35.5,2712.6,54.2,81.2,0.000001836602705,0.000000014
36,2712.6,56.6,82.1,0.000001909626273,0.000000014
36.5,2712.6,59,82.9,0.000001983459239,0.000000014
37,2712.6,61.5,83.8,0.000002058076573,0.000000014
37.5,2712.6,64.1,84.6,0.000002133453595,0.000000014
38,2712.6,66.7,85.4,0.000002209565965,0.000000014
38.5,2712.6,69.3,86.2,0.000002286389687,0.000000014
39,2712.6,72,87,0.0000023639011,0.000000014
39.5,2712.6,74.7,87.8,0.000002442076881,0.000000014
40,2712.6,77.5,88.5,0.000002520894038,0.0000000141
40.5,2712.6,80.4,89.2,0.000002600329909,0.0000000141
41,2712.6,83.3,89.8,0.000002680362161,0.0000000141
41.5,2712.6,86.3,90.5,0.000002760968785,0.0000000141
42,2712.6,89.3,91.1,0.000002842128094,0.0000000141
42.5,2712.6,92.3,91.7,0.000002923818719,0.0000000141
43,2712.6,95.4,92.3,0.000003006019611,0.0000000141
43.5,2712.6,98.5,92.9,0.000003088710034,0.0000000141
44,2712.6,102,93.5,0.000003171869562,0.0000000142
44.5,2712.6,105,94.1,0.00000325547808,0.0000000142
45,2712.6,108,94.7,0.00000333951578,0.0000000142
45.5,2712.6,111,95.2,0.000003423963157,0.0000000142
46,2712.6,115,95.8,0.000003508801007,0.0000000142
46.5,2712.6,118,96.3,0.000003594010426,0.0000000142
47,2712.6,121,96.9,0.000003679572806,0.0000000143
47.5,2712.6,125,97.4,0.000003765469833,0.0000000143
48,2712.6,128,97.9,0.000003851683483,0.0000000143
48.5,2712.6,132,98.4,0.000003938196023,0.0000000143
49,2712.6,135,99,0.000004024990004,0.0000000144
49.5,2712.6,139,99.4,0.000004112048264,0.0000000144
50,2712.6,142,100,0.000004199353918,0.0000000144
50.5,2712.6,145,101,0.000004286890365,0.0000000144
51,2712.6,149,101,0.000004374641276,0.0000000145
51.5,2712.6,152,102,0.000004462590598,0.0000000145
52,2712.6,156,103,0.00000455072255,0.0000000145
52.5,2712.6,160,103,0.000004639021619,0.0000000146
53,2712.6,163,104,0.000004727472559,0.0000000146
53.5,2712.6,167,104,0.000004816060388,0.0000000146
54,2712.6,170,105,0.000004904770388,0.0000000146
54.5,2712.6,174,106,0.000004993588097,0.0000000147
55,2712.6,177,106,0.000005082499313,0.0000000147
55.5,2712.6,181,107,0.000005171490087,0.0000000148
56,2712.6,185,107,0.000005260546724,0.0000000148
56.5,2712.6,188,108,0.000005349655777,0.0000000148
57,2712.6,192,108,0.000005438804049,0.0000000149
57.5,2712.6,196,109,0.000005527978587,0.0000000149
58,2712.6,199,109,0.00000561716668,0.0000000149
58.5,2712.6,203,110,0.00000570635586,0.000000015
59,2712.6,207,110,0.000005795533896,0.000000015
59.5,2712.6,210,111,0.000005884688793,0.0000000151
60,2712.6,214,111,0.000005973808791,0.0000000151
60.5,2712.6,218,111,0.00000606288236,0.0000000151
61,2712.6,221,111,0.000006151898201,0.0000000152
61.5,2712.6,225,112,0.000006240845241,0.0000000152
62,2712.6,229,112,0.000006329712632,0.0000000153
62.5,2712.6,232,112,0.000006418489748,0.0000000153
63,2712.6,236,112,0.000006507166184,0.0000000153
63.5,2712.6,240,112,0.000006595731753,0.0000000154
64,2712.6,243,112,0.000006684176483,0.0000000154
64.5,2712.6,247,112,0.000006772490618,0.0000000155
65,2712.6,251,112,0.000006860664611,0.0000000155
65.5,2712.6,254,112,0.000006948689125,0.0000000155
66,2712.6,258,113,0.000007036555032,0.0000000156
66.5,2712.6,262,113,0.000007124253405,0.0000000156
67,2712.6,265,113,0.000007211775525,0.0000000157
67.5,2712.6,269,113,0.000007299112869,0.0000000157
68,2712.6,273,113,0.000007386257116,0.0000000158
68.5,2712.6,276,113,0.000007473200139,0.0000000158
69,2712.6,280,113,0.000007559934006,0.0000000159
69.5,2712.6,283,113,0.000007646450978,0.0000000159
70,2712.6,287,113,0.000007732743507,0.000000016
70.5,2712.6,291,113,0.00000781880423,0.000000016
71,2712.6,294,113,0.000007904625972,0.0000000161
71.5,2712.6,298,114,0.000007990201742,0.0000000161
72,2712.6,301,114,0.000008075524731,0.0000000162
72.5,2712.6,305,114,0.000008160588308,0.0000000162
73,2712.6,308,114,0.000008245386022,0.0000000163
73.5,2712.6,312,115,0.000008329911596,0.0000000163
74,2712.6,315,115,0.000008414158929,0.0000000164
74.5,2712.6,319,115,0.000008498122088,0.0000000164
75,2712.6,323,116,0.000008581795314,0.0000000165
75.5,2712.6,326,116,0.000008665173013,0.0000000165
76,2712.6,329,116,0.000008748249756,0.0000000166
76.5,2712.6,333,116,0.000008831020282,0.0000000166
77,2712.6,336,117,0.000008913479486,0.0000000167
77.5,2712.6,340,117,0.000008995622429,0.0000000168
78,2712.6,343,117,0.000009077444324,0.0000000168
78.5,2712.6,347,117,0.000009158940544,0.0000000169
79,2712.6,350,118,0.000009240106616,0.0000000169
79.5,2712.6,354,118,0.000009320938216,0.000000017
80,2712.6,357,118,0.000009401431174,0.0000000171
80.5,2712.6,360,118,0.000009481581465,0.0000000171
81,2712.6,364,118,0.000009561385214,0.0000000172
81.5,2712.6,367,118,0.000009640838689,0.0000000172
82,2712.6,370,119,0.000009719938298,0.0000000173
82.5,2712.6,374,119,0.000009798680595,0.0000000173
83,2712.6,377,119,0.00000987706227,0.0000000174
83.5,2712.6,380,119,0.000009955080149,0.0000000175
84,2712.6,384,119,0.0000100327312,0.0000000175
84.5,2712.6,387,119,0.00001011001251,0.0000000176
85,2712.6,390,119,0.00001018692132,0.0000000176
85.5,2712.6,393,119,0.00001026345498,0.0000000177
86,2712.6,397,119,0.00001033961097,0.0000000177
86.5,2712.6,400,120,0.00001041538692,0.0000000178
87,2712.6,403,120,0.00001049078056,0.0000000179
87.5,2712.6,406,120,0.00001056578975,0.0000000179
88,2712.6,409,120,0.00001064041247,0.000000018
88.5,2712.6,413,120,0.00001071464682,0.000000018
89,2712.6,416,120,0.00001078849102,0.0000000181
89.5,2712.6,419,120,0.00001086194341,0.0000000182
90,2712.6,422,120,0.00001093500244,0.0000000182
90.5,2712.6,425,120,0.00001100766665,0.0000000183
91,2712.6,428,120,0.00001107993474,0.0000000183
91.5,2712.6,431,120,0.00001115180548,0.0000000184
92,2712.6,434,120,0.00001122327776,0.0000000184
