T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,2698,0.1,58.1,0,4.2E-10
1.5,2698,0.0968,87.2,0,4.2E-10
2,2698,0.108,116,0,4.2E-10
2.5,2698,0.133,145,0,4.2E-10
3,2698,0.169,174,0,4.2E-10
3.5,2698,0.218,203,0,4.2E-10
4,2698,0.276,232,0,4.2E-10
4.5,2698,0.344,261,0,4.2E-10
5,2698,0.388,290,0,4.2E-10
5.5,2698,0.448,319,0,4.2E-10
6,2698,0.515,348,0,4.2E-10
6.5,2698,0.59,377,0,4.2E-10
7,2698,0.673,406,9.710111896E-08,4.2E-10
7.5,2698,0.765,435,0.000000149903493,4.2E-10
8,2698,0.867,463,0.0000002027834303,4.2E-10
8.5,2698,0.981,491,0.0000002557402603,4.21E-10
9,2698,1.11,519,0.0000003087733125,4.21E-10
9.5,2698,1.25,547,0.0000003618819166,4.21E-10
10,2698,1.4,575,0.0000004150654021,4.21E-10
10.5,2698,1.56,603,0.0000004683230989,4.21E-10
11,2698,1.74,630,0.0000005216543367,4.21E-10
11.5,2698,1.93,657,0.0000005750584454,4.21E-10
12,2698,2.14,683,0.0000006285347548,4.21E-10
12.5,2698,2.37,710,0.000000682082595,4.21E-10
13,2698,2.62,735,0.0000007357012959,4.22E-10
13.5,2698,2.89,761,0.0000007893901878,4.22E-10
14,2698,3.18,786,0.0000008431486008,4.22E-10
14.5,2698,3.5,810,0.000000896975865,4.23E-10
15,2698,3.84,834,0.0000009508713109,4.23E-10
15.5,2698,4.21,858,0.000001004834269,4.24E-10
16,2698,4.61,881,0.000001058864069,4.25E-10
16.5,2698,5.03,903,0.000001112960042,4.25E-10
17,2698,5.49,925,0.000001167121518,4.26E-10
17.5,2698,5.97,946,0.000001221347829,4.27E-10
18,2698,6.49,967,0.000001275638304,4.28E-10
18.5,2698,7.04,987,0.000001329992275,4.29E-10
19,2698,7.62,1010,0.000001384409072,4.3E-10
19.5,2698,8.24,1030,0.000001438888026,4.32E-10
20,2698,8.9,1040,0.000001493428468,4.33E-10
20.5,2698,9.6,1060,0.00000154802973,4.35E-10
21,2698,10.3,1070,0.000001602691141,4.36E-10
21.5,2698,11.1,1080,0.000001657412034,4.38E-10
22,2698,11.9,1100,0.000001712191739,4.4E-10
22.5,2698,12.8,1110,0.000001767029588,4.42E-10
