T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,1774,0.0184,0.005,0,0
1.5,1774,0.0863,0.00713,0,0
2,1774,0.24,0.009,0,0
2.5,1774,0.474,0.0106,0,0
3,1774,0.783,0.0121,0,0
3.5,1774,1.16,0.0134,0,0
4,1774,1.61,0.0146,0,0
4.5,1774,2.11,0.0156,0,0
5,1774,2.61,0.0171,0,0
5.5,1774,3.18,0.0184,0,0
6,1774,3.79,0.0197,0,0
6.5,1774,4.45,0.021,0,0
7,1774,5.14,0.0223,0,0
7.5,1774,5.87,0.0235,0,0
8,1774,6.63,0.0248,0,0
8.5,1774,7.43,0.0261,0,0
9,1774,8.26,0.0274,0,0
9.5,1774,9.16,0.0285,0.0000001473462564,0
10,1774,10,0.03,0.000000391250528,0
10.5,1774,10.9,0.0315,0.0000006352052086,0
11,1774,11.7,0.033,0.0000008791925821,0
11.5,1774,12.6,0.0345,0.000001123195094,0
12,1774,13.6,0.0361,0.000001367195352,0
12.5,1774,14.5,0.0376,0.000001611176123,0
13,1774,15.5,0.0392,0.000001855120335,0
13.5,1774,16.4,0.0408,0.000002099011074,0
14,1774,17.4,0.0424,0.000002342831588,0
14.5,1774,18.4,0.044,0.000002586565281,0
15,1774,19.4,0.0456,0.000002830195716,0
15.5,1774,20.5,0.0473,0.000003073706613,0
16,1774,21.5,0.0489,0.000003317081848,0
16.5,1774,22.5,0.0506,0.000003560305455,0
17,1774,23.6,0.0522,0.000003803361623,0
17.5,1774,24.6,0.0538,0.000004046234697,0
18,1774,25.7,0.0555,0.000004288909174,0
18.5,1774,26.8,0.0571,0.000004531369708,0
19,1774,27.8,0.0588,0.000004773601106,0
19.5,1774,29,0.0605,0.000005015588327,0
20,1774,30,0.062,0.000005257316483,0
20.5,1774,31,0.0635,0.000005498770838,0
21,1774,32,0.065,0.000005739936808,0
21.5,1774,33,0.0664,0.000005980799959,0
22,1774,34,0.0679,0.000006221346008,0
22.5,1774,35,0.0693,0.00000646156082,0
23,1774,36,0.0708,0.000006701430412,0
23.5,1774,37.1,0.0722,0.000006940940947,0
24,1774,38.1,0.0736,0.000007180078739,0
24.5,1774,39.1,0.075,0.000007418830246,0
25,1774,40.1,0.0764,0.000007657182077,0
25.5,1774,41.1,0.0778,0.000007895120984,0
26,1774,42.2,0.0792,0.000008132633867,0
26.5,1774,43.2,0.0806,0.000008369707771,0
27,1774,44.3,0.082,0.000008606329886,0
27.5,1774,45.3,0.0833,0.000008842487545,0
28,1774,46.4,0.0847,0.000009078168227,0
28.5,1774,47.4,0.086,0.000009313359552,0
29,1774,48.5,0.0874,0.000009548049285,0
29.5,1774,49.6,0.0887,0.00000978222533,0
