T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,1774,0.0184,0.018,-0.000001,0.00002
1.5,1774,0.0863,0.0187,-0.000001,0.00002
2,1774,0.24,0.02,-0.000001,0.00002
2.5,1774,0.474,0.0217,-0.000001,0.0000199
3,1774,0.783,0.0238,-0.000001,0.0000199
3.5,1774,1.16,0.0263,-0.000001,0.0000199
4,1774,1.61,0.0289,-0.000001,0.0000199
4.5,1774,2.11,0.0317,-0.000001,0.0000199
5,1774,2.61,0.0332,-0.000001,0.0000199
5.5,1774,3.18,0.035,-0.000001,0.0000199
6,1774,3.79,0.0368,-0.000001,0.0000198
6.5,1774,4.45,0.0386,-0.000001,0.0000198
7,1774,5.14,0.0403,-0.000001,0.0000198
7.5,1774,5.87,0.0419,-0.000001,0.0000198
8,1774,6.63,0.0435,-0.000001,0.0000198
8.5,1774,7.43,0.0452,-0.000001,0.0000198
9,1774,8.26,0.0468,-0.000001,0.0000198
9.5,1774,9.16,0.048,-0.000001,0.0000198
10,1774,10,0.05,-0.000001,0.0000197
10.5,1774,10.9,0.052,-0.000001,0.0000197
11,1774,11.7,0.0541,-0.000001,0.0000197
11.5,1774,12.6,0.0562,-0.000001,0.0000197
12,1774,13.6,0.0584,-0.000001,0.0000197
12.5,1774,14.5,0.0606,-0.000001,0.0000197
13,1774,15.5,0.0629,-0.000001,0.0000197
13.5,1774,16.4,0.0653,-0.000001,0.0000197
14,1774,17.4,0.0676,-0.000001,0.0000196
14.5,1774,18.4,0.0701,-0.000001,0.0000196
15,1774,19.4,0.0725,-0.000001,0.0000196
15.5,1774,20.5,0.075,-0.000001,0.0000196
16,1774,21.5,0.0776,-0.000001,0.0000196
16.5,1774,22.5,0.0802,-0.000001,0.0000196
17,1774,23.6,0.0829,-0.000001,0.0000196
17.5,1774,24.6,0.0856,-0.000001,0.0000196
18,1774,25.7,0.0884,-0.000001,0.0000195
18.5,1774,26.8,0.0912,-0.000001,0.0000195
19,1774,27.8,0.0941,-0.000001,0.0000195
19.5,1774,29,0.0971,-0.000001,0.0000195
20,1774,30,0.1,-0.000001,0.0000195
20.5,1774,31,0.103,-0.000001,0.0000195
21,1774,32,0.106,-0.000001,0.0000195
21.5,1774,33,0.109,-0.000001,0.0000195
22,1774,34,0.112,-0.000001,0.0000194
22.5,1774,35,0.115,-0.000001,0.0000194
23,1774,36,0.119,-0.000001,0.0000194
23.5,1774,37.1,0.122,-0.000001,0.0000194
24,1774,38.1,0.125,-0.000001,0.0000194
24.5,1774,39.1,0.129,-0.000001,0.0000194
25,1774,40.1,0.132,-0.000001,0.0000194
25.5,1774,41.1,0.136,-0.000001,0.0000193
26,1774,42.2,0.139,-0.000001,0.0000193
26.5,1774,43.2,0.143,-0.000001,0.0000193
27,1774,44.3,0.147,-0.000001,0.0000193
27.5,1774,45.3,0.15,-0.000001,0.0000193
28,1774,46.4,0.154,-0.000001,0.0000193
28.5,1774,47.4,0.158,-0.000001,0.0000193
29,1774,48.5,0.162,-0.000001,0.0000193
29.5,1774,49.6,0.166,-0.000001,0.0000192
30,1774,50.6,0.17,-0.000001,0.0000192
30.5,1774,51.6,0.174,-0.000001,0.0000192
31,1774,52.7,0.178,-0.000001,0.0000192
31.5,1774,53.7,0.183,-0.000001,0.0000192
32,1774,54.8,0.187,-0.000001,0.0000192
32.5,1774,55.9,0.192,-0.000001,0.0000192
33,1774,56.9,0.196,-0.000001,0.0000192
33.5,1774,58,0.201,-0.000001,0.0000191
34,1774,59.1,0.205,-0.000001,0.0000191
34.5,1774,60.2,0.21,-0.000001,0.0000191
35,1774,61.4,0.215,-0.000001,0.0000191
