T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,8960,0.012,93.6,2.432497173E-08,2.61E-10
1.5,8960,0.0192,140,3.714137536E-08,2.61E-10
2,8960,0.028,187,5.074754846E-08,2.61E-10
2.5,8960,0.0389,234,6.513609426E-08,2.61E-10
3,8960,0.0525,281,8.029964061E-08,2.61E-10
3.5,8960,0.0695,328,9.623084003E-08,2.61E-10
4,8960,0.0904,374,0.0000001129223696,2.61E-10
4.5,8960,0.116,421,0.0000001303669312,2.61E-10
5,8960,0.143,468,0.000000148557251,2.61E-10
5.5,8960,0.177,515,0.0000001674860803,2.61E-10
6,8960,0.218,561,0.0000001871461946,2.61E-10
6.5,8960,0.265,607,0.0000002075303942,2.61E-10
7,8960,0.321,653,0.0000002286315041,2.61E-10
7.5,8960,0.386,699,0.0000002504423738,2.61E-10
8,8960,0.46,745,0.0000002729558776,2.61E-10
8.5,8960,0.545,790,0.0000002961649142,2.61E-10
9,8960,0.641,834,0.0000003200624072,2.61E-10
9.5,8960,0.754,878,0.0000003446413046,2.62E-10
10,8960,0.87,922,0.0000003698945792,2.62E-10
10.5,8960,1,964,0.0000003958152283,2.62E-10
11,8960,1.14,1010,0.000000422396274,2.62E-10
11.5,8960,1.3,1050,0.0000004496307629,2.62E-10
12,8960,1.48,1090,0.0000004775117662,2.62E-10
12.5,8960,1.67,1130,0.0000005060323799,2.62E-10
13,8960,1.88,1170,0.0000005351857245,2.62E-10
13.5,8960,2.11,1200,0.0000005649649452,2.63E-10
14,8960,2.36,1240,0.0000005953632117,2.63E-10
14.5,8960,2.63,1280,0.0000006263737186,2.63E-10
15,8960,2.93,1310,0.0000006579896849,2.64E-10
15.5,8960,3.24,1350,0.0000006902043543,2.64E-10
16,8960,3.58,1380,0.0000007230109952,2.65E-10
16.5,8960,3.95,1410,0.0000007564029005,2.66E-10
17,8960,4.34,1440,0.0000007903733878,2.66E-10
17.5,8960,4.75,1470,0.0000008249157995,2.67E-10
18,8960,5.2,1500,0.0000008600235023,2.68E-10
18.5,8960,5.67,1520,0.0000008956898878,2.69E-10
19,8960,6.17,1550,0.0000009319083721,2.7E-10
19.5,8960,6.64,1570,0.000000968672396,2.72E-10
20,8960,7.27,1590,0.000001005975425,2.73E-10
20.5,8960,7.93,1600,0.000001043810949,2.74E-10
21,8960,8.62,1620,0.000001082172483,2.75E-10
21.5,8960,9.34,1630,0.000001121053566,2.77E-10
22,8960,10.1,1640,0.000001160447762,2.79E-10
22.5,8960,10.9,1650,0.000001200348659,2.81E-10
23,8960,11.7,1650,0.000001240749872,2.82E-10
23.5,8960,12.6,1660,0.000001281645037,2.85E-10
24,8960,13.4,1660,0.000001323027817,2.87E-10
24.5,8960,14.4,1660,0.000001364891899,2.89E-10
25,8960,15.3,1660,0.000001407230996,2.92E-10
25.5,8960,16.3,1660,0.000001450038843,2.95E-10
26,8960,17.3,1660,0.000001493309201,2.98E-10
26.5,8960,18.4,1660,0.000001537035857,3.01E-10
27,8960,19.4,1660,0.00000158121262,3.05E-10
27.5,8960,20.5,1650,0.000001625833325,3.08E-10
28,8960,21.7,1640,0.000001670891832,3.12E-10
28.5,8960,22.9,1640,0.000001716382026,3.16E-10
29,8960,24.1,1630,0.000001762297814,3.21E-10
29.5,8960,25.2,1620,0.000001808633131,3.25E-10
30,8960,26.6,1610,0.000001855381934,3.3E-10
30.5,8960,28,1590,0.000001902538206,3.36E-10
31,8960,29.4,1580,0.000001950095955,3.41E-10
31.5,8960,30.9,1570,0.000001998049212,3.47E-10
32,8960,32.3,1550,0.000002046392034,3.53E-10
32.5,8960,33.8,1540,0.000002095118503,3.59E-10
33,8960,35.4,1520,0.000002144222725,3.66E-10
33.5,8960,36.9,1500,0.000002193698829,3.73E-10
34,8960,38.5,1480,0.000002243540971,3.8E-10
34.5,8960,40.1,1460,0.000002293743331,3.88E-10
35,8960,41.8,1450,0.000002344300114,3.96E-10
