T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,8802,0.0111,1.11,0,0.0000000211
1.5,8802,0.0196,1.85,0,0.0000000211
2,8802,0.0293,2.68,0,0.0000000211
2.5,8802,0.0409,3.58,0,0.0000000211
3,8802,0.0554,4.53,0,0.0000000211
3.5,8802,0.0736,5.53,0,0.0000000211
4,8802,0.0964,6.57,0,0.0000000211
4.5,8802,0.125,7.65,0,0.0000000211
5,8802,0.161,8.56,0,0.0000000211
5.5,8802,0.205,9.54,0,0.0000000211
6,8802,0.256,10.5,0,0.0000000211
6.5,8802,0.316,11.5,0,0.0000000211
7,8802,0.386,12.5,0,0.0000000211
7.5,8802,0.466,13.5,0,0.0000000211
8,8802,0.557,14.5,0,0.0000000211
8.5,8802,0.66,15.5,0,0.0000000211
9,8802,0.775,16.5,0,0.0000000211
9.5,8802,0.919,17.4,0,0.0000000211
10,8802,1.05,18.5,0,0.0000000211
10.5,8802,1.19,19.6,0,0.000000021
11,8802,1.34,20.8,0,0.000000021
11.5,8802,1.52,21.9,5.165242044E-08,0.000000021
12,8802,1.71,23.1,0.0000001016524204,0.000000021
12.5,8802,1.91,24.2,0.0000001164357589,0.000000021
13,8802,2.14,25.4,0.0000001332927865,0.000000021
13.5,8802,2.39,26.6,0.0000001521813021,0.000000021
14,8802,2.66,27.8,0.0000001730595861,0.000000021
14.5,8802,2.95,29,0.0000001958863973,0.000000021
15,8802,3.27,30.2,0.0000002206209692,0.000000021
15.5,8802,3.61,31.4,0.0000002472230073,0.000000021
16,8802,3.98,32.6,0.0000002756526856,0.000000021
16.5,8802,4.37,33.8,0.0000003058706438,0.000000021
17,8802,4.79,34.9,0.0000003378379834,0.000000021
17.5,8802,5.25,36.1,0.0000003715162652,0.000000021
18,8802,5.73,37.3,0.0000004068675058,0.000000021
18.5,8802,6.25,38.5,0.0000004438541744,0.000000021
19,8802,6.8,39.7,0.0000004824391899,0.000000021
19.5,8802,7.28,40.9,0.0000005225859176,0.000000021
20,8802,8,42,0.000000564258166,0.000000021
20.5,8802,8.76,43.1,0.0000006074201838,0.000000021
21,8802,9.55,44.1,0.0000006520366569,0.000000021
21.5,8802,10.4,45.2,0.000000698072705,0.000000021
22,8802,11.2,46.2,0.0000007454938787,0.000000021
22.5,8802,12.1,47.3,0.0000007942661565,0.000000021
23,8802,13.1,48.3,0.0000008443559417,0.000000021
23.5,8802,14,49.3,0.0000008957300589,0.000000021
24,8802,15,50.2,0.0000009483557518,0.000000021
24.5,8802,16.1,51.2,0.000001002200679,0.000000021
25,8802,17.1,52.2,0.000001057232913,0.0000000211
25.5,8802,18.2,53.1,0.000001113420935,0.0000000211
26,8802,19.4,54,0.000001170733631,0.0000000211
26.5,8802,20.5,54.9,0.000001229140295,0.0000000211
27,8802,21.7,55.8,0.000001288610616,0.0000000211
27.5,8802,23,56.7,0.000001349114686,0.0000000211
28,8802,24.2,57.6,0.000001410622987,0.0000000211
28.5,8802,25.5,58.4,0.000001473106396,0.0000000211
29,8802,26.9,59.2,0.000001536536177,0.0000000211
29.5,8802,28.2,60.1,0.00000160088398,0.0000000211
30,8802,29.6,60.8,0.000001666121839,0.0000000212
30.5,8802,31,61.5,0.000001732222165,0.0000000212
31,8802,32.5,62.2,0.00000179915775,0.0000000212
31.5,8802,34,62.8,0.000001866901757,0.0000000212
32,8802,35.5,63.5,0.000001935427721,0.0000000212
32.5,8802,37,64.1,0.000002004709547,0.0000000212
33,8802,38.6,64.7,0.000002074721504,0.0000000212
33.5,8802,40.1,65.3,0.000002145438223,0.0000000213
34,8802,41.8,65.9,0.000002216834697,0.0000000213
34.5,8802,43.4,66.5,0.000002288886274,0.0000000213
35,8802,45.1,67,0.000002361568657,0.0000000213
35.5,8802,46.8,67.6,0.000002434857899,0.0000000213
36,8802,48.5,68.1,0.000002508730405,0.0000000213
36.5,8802,50.2,68.6,0.000002583162921,0.0000000214
37,8802,52,69.1,0.000002658132541,0.0000000214
37.5,8802,53.8,69.6,0.000002733616694,0.0000000214
38,8802,55.6,70.1,0.00000280959315,0.0000000214
38.5,8802,57.4,70.6,0.000002886040013,0.0000000214
39,8802,59.3,71.1,0.000002962935718,0.0000000215
39.5,8802,61.1,71.5,0.00000304025903,0.0000000215
40,8802,63.1,72,0.00000311798904,0.0000000215
40.5,8802,65,72.5,0.000003196105163,0.0000000215
41,8802,67,73,0.000003274587134,0.0000000215
41.5,8802,69.1,73.4,0.000003353415009,0.0000000216
42,8802,71.1,73.9,0.000003432569157,0.0000000216
42.5,8802,73.2,74.3,0.00000351203026,0.0000000216
43,8802,75.2,74.8,0.000003591779313,0.0000000216
43.5,8802,77.3,75.2,0.000003671797616,0.0000000217
44,8802,79.4,75.7,0.000003752066774,0.0000000217
44.5,8802,81.5,76.1,0.000003832568697,0.0000000217
45,8802,83.6,76.5,0.000003913285592,0.0000000217
45.5,8802,85.7,77,0.000003994199964,0.0000000218
46,8802,87.8,77.4,0.000004075294614,0.0000000218
46.5,8802,89.9,77.8,0.000004156552633,0.0000000218
47,8802,92.1,78.2,0.000004237957401,0.0000000218
47.5,8802,94.2,78.6,0.000004319492588,0.0000000219
48,8802,96.3,79,0.000004401142145,0.0000000219
48.5,8802,98.4,79.4,0.000004482890306,0.0000000219
49,8802,101,79.8,0.000004564721584,0.0000000219
49.5,8802,103,80.2,0.000004646620768,0.000000022
50,8802,105,80.6,0.000004728572923,0.000000022
50.5,8802,107,81,0.000004810563383,0.000000022
51,8802,109,81.4,0.000004892577754,0.0000000221
51.5,8802,111,81.8,0.000004974601905,0.0000000221
52,8802,113,82.2,0.000005056621972,0.0000000221
