T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,1150,0.03,0.016,0.000001318953589,0
1.5,1150,0.0635,0.0266,0.000001708153934,0
2,1150,0.17,0.0347,0.000002093316049,0
2.5,1150,0.361,0.0406,0.000002474467273,0
3,1150,0.648,0.0446,0.000002851634875,0
3.5,1150,1.04,0.0469,0.00000322484606,0
4,1150,1.56,0.0479,0.000003594127962,0
4.5,1150,2.2,0.0478,0.00000395950765,0
5,1150,3.27,0.0511,0.000004321012123,0
5.5,1150,4.42,0.0526,0.000004678668314,0
6,1150,5.72,0.0538,0.000005032503088,0
6.5,1150,7.18,0.0548,0.000005382543242,0
7,1150,8.8,0.0555,0.000005728815506,0
7.5,1150,10.6,0.056,0.000006071346542,0
8,1150,12.4,0.0563,0.000006410162943,0
8.5,1150,14.5,0.0565,0.000006745291238,0
9,1150,16.6,0.0565,0.000007076757884,0
9.5,1150,19,0.0555,0.000007404589275,0
10,1150,21.3,0.0562,0.000007728811732,0
10.5,1150,23.8,0.0569,0.000008049451513,0
11,1150,26.3,0.0576,0.000008366534806,0
11.5,1150,29,0.0584,0.000008680087732,0
12,1150,31.7,0.0591,0.000008990136345,0
12.5,1150,34.5,0.0598,0.000009296706629,0
13,1150,37.4,0.0605,0.000009599824504,0
13.5,1150,40.4,0.0612,0.000009899515819,0
14,1150,43.5,0.0619,0.00001019580636,0
14.5,1150,46.6,0.0626,0.00001048872184,0
15,1150,49.8,0.0633,0.0000107782879,0
15.5,1150,53,0.064,0.00001106453013,0
16,1150,56.3,0.0647,0.00001134747404,0
16.5,1150,59.7,0.0654,0.00001162714507,0
17,1150,63.1,0.0661,0.0000119035686,0
17.5,1150,66.5,0.0668,0.00001217676994,0
18,1150,69.9,0.0674,0.00001244677433,0
18.5,1150,73.4,0.0681,0.00001271360695,0
19,1150,76.9,0.0687,0.0000129772929,0
19.5,1150,80.7,0.0694,0.00001323785722,0
20,1150,84,0.07,0.00001349532488,0
20.5,1150,87.3,0.0706,0.00001374972079,0
21,1150,90.6,0.0711,0.00001400106978,0
21.5,1150,93.9,0.0716,0.00001424939661,0
22,1150,97.2,0.0722,0.000014494726,0
22.5,1150,101,0.0727,0.00001473708258,0
23,1150,104,0.0732,0.0000149764909,0
23.5,1150,107,0.0737,0.00001521297547,0
24,1150,111,0.0742,0.00001544656072,0
24.5,1150,114,0.0747,0.000015677271,0
25,1150,117,0.0752,0.00001590513062,0
25.5,1150,120,0.0757,0.00001613016381,0
26,1150,124,0.0762,0.00001635239471,0
26.5,1150,127,0.0767,0.00001657184743,0
27,1150,130,0.0772,0.00001678854599,0
27.5,1150,134,0.0776,0.00001700251434,0
28,1150,137,0.0781,0.00001721377638,0
28.5,1150,140,0.0786,0.00001742235592,0
29,1150,144,0.0791,0.00001762827673,0
29.5,1150,147,0.0795,0.00001783156247,0
30,1150,150,0.08,0.00001803223679,0
30.5,1150,153,0.0805,0.00001823032322,0
31,1150,156,0.081,0.00001842584524,0
31.5,1150,159,0.0815,0.00001861882629,0
32,1150,162,0.082,0.00001880928969,0
32.5,1150,165,0.0825,0.00001899725874,0
33,1150,168,0.083,0.00001918275665,0
33.5,1150,171,0.0835,0.00001936580656,0
34,1150,174,0.084,0.00001954643154,0
34.5,1150,177,0.0845,0.00001972465462,0
35,1150,180,0.085,0.00001990049872,0
35.5,1150,183,0.0855,0.00002007398674,0
36,1150,186,0.086,0.00002024514146,0
36.5,1150,189,0.0865,0.00002041398564,0
37,1150,192,0.087,0.00002058054194,0
37.5,1150,195,0.0875,0.00002074483298,0
38,1150,198,0.088,0.00002090688127,0
38.5,1150,201,0.0885,0.00002106670931,0
39,1150,204,0.089,0.00002122433947,0
39.5,1150,207,0.0895,0.00002137979411,0
40,1150,210,0.09,0.00002153309548,0
40.5,1150,213,0.0905,0.00002168426579,0
41,1150,216,0.091,0.00002183332716,0
41.5,1150,219,0.0915,0.00002198030165,0
42,1150,222,0.0921,0.00002212521127,0
42.5,1150,225,0.0926,0.00002226807795,0
43,1150,228,0.0931,0.00002240892353,0
43.5,1150,231,0.0936,0.00002254776982,0
44,1150,234,0.0941,0.00002268463853,0
44.5,1150,237,0.0946,0.00002281955134,0
45,1150,240,0.0951,0.00002295252981,0
45.5,1150,243,0.0956,0.00002308359549,0
46,1150,246,0.0961,0.00002321276982,0
46.5,1150,249,0.0966,0.00002334007419,0
47,1150,252,0.0971,0.00002346552992,0
47.5,1150,255,0.0976,0.00002358915826,0
48,1150,258,0.0981,0.00002371098039,0
48.5,1150,261,0.0986,0.00002383101743,0
49,1150,264,0.099,0.00002394929043,0
49.5,1150,267,0.0996,0.00002406582038,0
50,1150,270,0.1,0.00002418062817,0
50.5,1150,273,0.1,0.00002429373467,0
51,1150,276,0.101,0.00002440516064,0
51.5,1150,279,0.101,0.00002451492681,0
52,1150,282,0.102,0.0000246230538,0
52.5,1150,285,0.102,0.0000247295622,0
53,1150,288,0.103,0.00002483447252,0
53.5,1150,291,0.103,0.00002493780519,0
54,1150,294,0.103,0.00002503958058,0
54.5,1150,297,0.104,0.00002513981901,0
55,1150,300,0.104,0.00002523854071,0
55.5,1150,302,0.105,0.00002533576584,0
56,1150,305,0.105,0.00002543151452,0
56.5,1150,308,0.106,0.00002552580677,0
57,1150,311,0.106,0.00002561866256,0
57.5,1150,314,0.106,0.00002571010179,0
58,1150,317,0.107,0.00002580014429,0
58.5,1150,320,0.107,0.00002588880983,0
59,1150,322,0.108,0.0000259761181,0
59.5,1150,325,0.108,0.00002606208872,0
60,1150,328,0.108,0.00002614674127,0
60.5,1150,331,0.109,0.00002623009523,0
61,1150,333,0.109,0.00002631217003,0
61.5,1150,336,0.11,0.00002639298503,0
62,1150,338,0.11,0.00002647255952,0
62.5,1150,341,0.111,0.00002655091272,0
63,1150,344,0.111,0.00002662806378,0
63.5,1150,346,0.111,0.00002670403179,0
64,1150,349,0.112,0.00002677883578,0
64.5,1150,351,0.112,0.00002685249469,0
65,1150,354,0.113,0.00002692502741,0
65.5,1150,356,0.113,0.00002699645276,0
66,1150,359,0.114,0.00002706678948,0
66.5,1150,362,0.114,0.00002713605626,0
67,1150,364,0.114,0.00002720427171,0
67.5,1150,367,0.115,0.00002727145438,0
68,1150,369,0.115,0.00002733762275,0
68.5,1150,372,0.116,0.00002740279522,0
69,1150,375,0.116,0.00002746699014,0
69.5,1150,377,0.117,0.00002753022579,0
70,1150,380,0.117,0.00002759252038,0
