T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,1948,0.00986,0.007,0.000005496529074,0
1.5,1948,0.0251,0.0148,0.000005481555525,0
2,1948,0.0613,0.0225,0.000005467695563,0
2.5,1948,0.125,0.0302,0.000005454963874,0
3,1948,0.221,0.0377,0.000005443374546,0
3.5,1948,0.357,0.0451,0.000005432941076,0
4,1948,0.538,0.0522,0.000005423676382,0
4.5,1948,0.77,0.0591,0.000005415592805,0
5,1948,1.17,0.0646,0.000005408702119,0
5.5,1948,1.6,0.0701,0.000005403015536,0
6,1948,2.09,0.0751,0.000005398543713,0
6.5,1948,2.66,0.0799,0.000005395296761,0
7,1948,3.29,0.0843,0.000005393284249,0
7.5,1948,3.99,0.0884,0.000005392515214,0
8,1948,4.76,0.0922,0.000005392998164,0
8.5,1948,5.59,0.0957,0.000005394741087,0
9,1948,6.48,0.099,0.000005397751459,0
9.5,1948,7.38,0.101,0.000005402036247,0
10,1948,8.47,0.105,0.000005407601919,0
10.5,1948,9.62,0.109,0.000005414454448,0
11,1948,10.8,0.112,0.000005422599321,0
11.5,1948,12.1,0.115,0.000005432041544,0
12,1948,13.5,0.119,0.00000544278565,0
12.5,1948,14.9,0.122,0.000005454835701,0
13,1948,16.3,0.125,0.000005468195302,0
13.5,1948,17.8,0.128,0.000005482867601,0
14,1948,19.4,0.131,0.000005498855298,0
14.5,1948,21,0.133,0.000005516160651,0
15,1948,22.7,0.136,0.000005534785483,0
15.5,1948,24.4,0.139,0.000005554731187,0
16,1948,26.2,0.141,0.000005575998732,0
16.5,1948,28,0.144,0.000005598588673,0
17,1948,29.8,0.146,0.000005622501151,0
17.5,1948,31.7,0.149,0.000005647735904,0
18,1948,33.6,0.151,0.000005674292271,0
18.5,1948,35.5,0.153,0.000005702169201,0
19,1948,37.5,0.156,0.000005731365254,0
19.5,1948,39.6,0.158,0.000005761878611,0
20,1948,41.6,0.16,0.000005793707079,0
20.5,1948,43.6,0.162,0.000005826848097,0
21,1948,45.6,0.164,0.00000586129874,0
21.5,1948,47.6,0.167,0.000005897055729,0
22,1948,49.7,0.169,0.000005934115433,0
22.5,1948,51.8,0.171,0.000005972473878,0
23,1948,53.9,0.173,0.00000601212675,0
23.5,1948,56.1,0.175,0.000006053069401,0
24,1948,58.2,0.177,0.000006095296859,0
24.5,1948,60.4,0.179,0.000006138803828,0
25,1948,62.5,0.181,0.000006183584695,0
25.5,1948,64.7,0.183,0.000006229633541,0
26,1948,66.9,0.185,0.000006276944139,0
26.5,1948,69.1,0.187,0.000006325509965,0
27,1948,71.3,0.189,0.0000063753242,0
27.5,1948,73.5,0.191,0.000006426379738,0
28,1948,75.7,0.192,0.000006478669191,0
28.5,1948,77.9,0.194,0.000006532184895,0
29,1948,80.2,0.196,0.000006586918912,0
