T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,1948,0.00986,0.0125,0.0000006958542344,0
1.5,1948,0.0251,0.0246,0.0000007700151713,0
2,1948,0.0613,0.035,0.0000008429602652,0
2.5,1948,0.125,0.0439,0.0000009147159669,0
3,1948,0.221,0.0514,0.0000009853083383,0
3.5,1948,0.357,0.0577,0.000001054763056,0
4,1948,0.538,0.0631,0.000001123105415,0
4.5,1948,0.77,0.0677,0.00000119036033,0
5,1948,1.17,0.0744,0.000001256552342,0
5.5,1948,1.6,0.08,0.000001321705619,0
6,1948,2.09,0.0852,0.000001385843959,0
6.5,1948,2.66,0.0903,0.000001448990796,0
7,1948,3.29,0.0951,0.000001511169201,0
7.5,1948,3.99,0.0997,0.000001572401884,0
8,1948,4.76,0.104,0.000001632711201,0
8.5,1948,5.59,0.108,0.000001692119155,0
9,1948,6.48,0.112,0.000001750647399,0
9.5,1948,7.38,0.116,0.000001808317237,0
10,1948,8.47,0.12,0.000001865149634,0
10.5,1948,9.62,0.124,0.000001921165212,0
11,1948,10.8,0.128,0.000001976384256,0
11.5,1948,12.1,0.132,0.000002030826718,0
12,1948,13.5,0.136,0.000002084512218,0
12.5,1948,14.9,0.14,0.000002137460049,0
13,1948,16.3,0.144,0.00000218968918,0
13.5,1948,17.8,0.148,0.000002241218257,0
14,1948,19.4,0.151,0.000002292065608,0
14.5,1948,21,0.155,0.000002342249246,0
15,1948,22.7,0.159,0.000002391786869,0
15.5,1948,24.4,0.162,0.00000244069587,0
16,1948,26.2,0.165,0.000002488993331,0
16.5,1948,28,0.169,0.000002536696034,0
17,1948,29.8,0.172,0.000002583820459,0
17.5,1948,31.7,0.175,0.000002630382787,0
18,1948,33.6,0.178,0.000002676398907,0
18.5,1948,35.5,0.181,0.000002721884416,0
19,1948,37.5,0.184,0.00000276685462,0
19.5,1948,39.6,0.187,0.000002811324543,0
20,1948,41.6,0.19,0.000002855308922,0
20.5,1948,43.6,0.193,0.000002898822216,0
21,1948,45.6,0.195,0.000002941878609,0
21.5,1948,47.6,0.198,0.000002984492006,0
22,1948,49.7,0.2,0.000003026676045,0
22.5,1948,51.8,0.203,0.000003068444093,0
23,1948,53.9,0.205,0.000003109809253,0
23.5,1948,56.1,0.207,0.000003150784363,0
24,1948,58.2,0.21,0.000003191382001,0
24.5,1948,60.4,0.212,0.000003231614491,0
25,1948,62.5,0.214,0.000003271493899,0
25.5,1948,64.7,0.216,0.000003311032041,0
26,1948,66.9,0.218,0.000003350240482,0
26.5,1948,69.1,0.221,0.000003389130544,0
27,1948,71.3,0.223,0.000003427713302,0
27.5,1948,73.5,0.225,0.000003465999592,0
28,1948,75.7,0.227,0.000003504000013,0
28.5,1948,77.9,0.229,0.000003541724925,0
29,1948,80.2,0.231,0.00000357918446,0
29.5,1948,82.5,0.233,0.000003616388515,0
30,1948,84.6,0.235,0.000003653346762,0
30.5,1948,86.7,0.237,0.00000369006865,0
31,1948,88.8,0.24,0.000003726563403,0
31.5,1948,90.9,0.242,0.000003762840025,0
32,1948,92.9,0.244,0.000003798907306,0
