T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,1948,0.00986,0.0125,0,0
1.5,1948,0.0251,0.0246,4.420156318E-08,0
2,1948,0.0613,0.035,0.0000001094081019,0
2.5,1948,0.125,0.0439,0.0000001742825068,0
3,1948,0.221,0.0514,0.0000002388243889,0
3.5,1948,0.357,0.0577,0.0000003030333853,0
4,1948,0.538,0.0631,0.0000003669091591,0
4.5,1948,0.77,0.0677,0.0000004304513997,0
5,1948,1.17,0.0744,0.0000004936598219,0
5.5,1948,1.6,0.08,0.0000005565341664,0
6,1948,2.09,0.0852,0.0000006190741993,0
6.5,1948,2.66,0.0903,0.0000006812797121,0
7,1948,3.29,0.0951,0.0000007431505214,0
7.5,1948,3.99,0.0997,0.0000008046864691,0
8,1948,4.76,0.104,0.0000008658874217,0
8.5,1948,5.59,0.108,0.0000009267532707,0
9,1948,6.48,0.112,0.000000987283932,0
9.5,1948,7.38,0.116,0.000001047479346,0
10,1948,8.47,0.12,0.000001107339478,0
10.5,1948,9.62,0.124,0.000001166864316,0
11,1948,10.8,0.128,0.000001226053874,0
11.5,1948,12.1,0.132,0.000001284908189,0
12,1948,13.5,0.136,0.00000134342732,0
12.5,1948,14.9,0.14,0.000001401611353,0
13,1948,16.3,0.144,0.000001459460394,0
13.5,1948,17.8,0.148,0.000001516974574,0
14,1948,19.4,0.151,0.000001574154048,0
14.5,1948,21,0.155,0.000001630998993,0
15,1948,22.7,0.159,0.000001687509607,0
15.5,1948,24.4,0.162,0.000001743686114,0
16,1948,26.2,0.165,0.000001799528758,0
16.5,1948,28,0.169,0.000001855037807,0
17,1948,29.8,0.172,0.000001910213551,0
17.5,1948,31.7,0.175,0.000001965056301,0
18,1948,33.6,0.178,0.00000201956639,0
18.5,1948,35.5,0.181,0.000002073744175,0
19,1948,37.5,0.184,0.000002127590031,0
19.5,1948,39.6,0.187,0.000002181104359,0
20,1948,41.6,0.19,0.000002234287576,0
20.5,1948,43.6,0.193,0.000002287140126,0
21,1948,45.6,0.195,0.000002339662469,0
21.5,1948,47.6,0.198,0.000002391855088,0
22,1948,49.7,0.2,0.000002443718488,0
22.5,1948,51.8,0.203,0.000002495253193,0
23,1948,53.9,0.205,0.000002546459748,0
23.5,1948,56.1,0.207,0.000002597338717,0
24,1948,58.2,0.21,0.000002647890686,0
24.5,1948,60.4,0.212,0.00000269811626,0
25,1948,62.5,0.214,0.000002748016065,0
25.5,1948,64.7,0.216,0.000002797590745,0
26,1948,66.9,0.218,0.000002846840964,0
26.5,1948,69.1,0.221,0.000002895767407,0
27,1948,71.3,0.223,0.000002944370776,0
27.5,1948,73.5,0.225,0.000002992651794,0
28,1948,75.7,0.227,0.000003040611202,0
28.5,1948,77.9,0.229,0.000003088249759,0
29,1948,80.2,0.231,0.000003135568245,0
29.5,1948,82.5,0.233,0.000003182567456,0
30,1948,84.6,0.235,0.000003229248209,0
30.5,1948,86.7,0.237,0.000003275611337,0
31,1948,88.8,0.24,0.000003321657691,0
31.5,1948,90.9,0.242,0.000003367388141,0
