T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,8118,0.251,0.0198,0,0.0000005
1.5,8118,0.368,0.0381,0,0.0000005
2,8118,0.481,0.0605,0,0.0000005
2.5,8118,0.592,0.0867,0,0.0000005
3,8118,0.703,0.116,0,0.000000501
3.5,8118,0.816,0.149,0,0.000000501
4,8118,0.932,0.185,0,0.000000501
4.5,8118,1.05,0.223,0,0.000000501
5,8118,1.2,0.262,0,0.000000501
5.5,8118,1.35,0.303,0,0.000000501
6,8118,1.51,0.345,0,0.000000501
6.5,8118,1.68,0.39,0,0.000000501
7,8118,1.87,0.436,0,0.000000502
7.5,8118,2.06,0.484,0,0.000000502
8,8118,2.27,0.533,0,0.000000502
8.5,8118,2.48,0.583,0,0.000000502
9,8118,2.72,0.634,0,0.000000502
9.5,8118,2.98,0.691,0,0.000000502
10,8118,3.22,0.74,0,0.000000502
10.5,8118,3.47,0.79,0,0.000000502
11,8118,3.73,0.84,0,0.000000502
11.5,8118,4.01,0.891,0,0.000000502
12,8118,4.31,0.942,0,0.000000503
12.5,8118,4.62,0.993,0,0.000000503
13,8118,4.95,1.05,0,0.000000503
13.5,8118,5.3,1.1,0,0.000000503
14,8118,5.67,1.15,0,0.000000503
14.5,8118,6.06,1.2,0,0.000000503
15,8118,6.48,1.26,0,0.000000503
15.5,8118,6.92,1.31,0,0.000000504
16,8118,7.38,1.36,0,0.000000504
16.5,8118,7.87,1.42,0,0.000000504
17,8118,8.39,1.47,0,0.000000504
17.5,8118,8.94,1.53,0,0.000000504
18,8118,9.51,1.58,0,0.000000504
18.5,8118,10.1,1.63,0,0.000000505
19,8118,10.8,1.69,0,0.000000505
19.5,8118,11.4,1.74,0,0.000000505
20,8118,12.1,1.8,0,0.000000505
20.5,8118,12.9,1.86,0,0.000000505
21,8118,13.7,1.91,0,0.000000505
21.5,8118,14.5,1.97,0,0.000000505
22,8118,15.3,2.02,0,0.000000506
22.5,8118,16.2,2.08,0,0.000000506
23,8118,17.2,2.13,0,0.000000506
23.5,8118,18.1,2.19,0,0.000000506
24,8118,19.1,2.25,0,0.000000506
24.5,8118,20.2,2.3,0,0.000000506
25,8118,21.3,2.36,0,0.000000507
25.5,8118,22.5,2.41,0,0.000000507
26,8118,23.7,2.47,0,0.000000507
26.5,8118,24.9,2.52,0,0.000000507
27,8118,26.2,2.58,0,0.000000507
27.5,8118,27.5,2.63,0,0.000000507
28,8118,28.9,2.69,0,0.000000507
28.5,8118,30.4,2.74,0,0.000000508
29,8118,31.9,2.79,0,0.000000508
29.5,8118,33.2,2.85,0,0.000000508
30,8118,35,2.9,0,0.000000508
30.5,8118,36.9,2.95,0,0.000000508
31,8118,38.8,3,0,0.000000508
