T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,1420,0.0125,0.0024,0,0
1.5,1420,0.0414,0.00366,0,0
2,1420,0.0999,0.00494,0,0
2.5,1420,0.197,0.00624,0,0
3,1420,0.34,0.00755,0,0
3.5,1420,0.538,0.00886,0,0
4,1420,0.8,0.0102,0,0
4.5,1420,1.13,0.0115,0,0
5,1420,1.7,0.0127,0,0
5.5,1420,2.31,0.0139,0,0
6,1420,3.02,0.015,0,0
6.5,1420,3.82,0.0162,0,0
7,1420,4.71,0.0173,0,0
7.5,1420,5.7,0.0185,0,0
8,1420,6.78,0.0196,0,0
8.5,1420,7.95,0.0207,0,0
9,1420,9.21,0.0218,0,0
9.5,1420,10.5,0.0228,0,0
10,1420,12,0.024,0,0
10.5,1420,13.6,0.0252,0,0
11,1420,15.3,0.0265,0,0
11.5,1420,17.1,0.0277,0,0
12,1420,19,0.029,0,0
12.5,1420,20.9,0.0302,0.0000001212968548,0
13,1420,23,0.0315,0.0000001312968548,0
13.5,1420,25.1,0.0328,0.0000001469780317,0
14,1420,27.3,0.034,0.000000154142782,0
14.5,1420,29.5,0.0353,0.0000001627602781,0
15,1420,31.8,0.0366,0.0000001728000775,0
15.5,1420,34.2,0.0378,0.0000001842321202,0
16,1420,36.7,0.0391,0.0000002070267261,0
16.5,1420,39.2,0.0404,0.0000002211545923,0
17,1420,41.7,0.0416,0.0000002565867905,0
17.5,1420,44.3,0.0429,0.0000002732947645,0
18,1420,47,0.0441,0.0000002912503273,0
18.5,1420,49.7,0.0454,0.0000003104256589,0
19,1420,52.4,0.0466,0.0000003307933032,0
19.5,1420,55.3,0.0479,0.0000003523261662,0
20,1420,58,0.049,0.0000003749975123,0
20.5,1420,60.8,0.0501,0.000000398780963,0
21,1420,63.6,0.0512,0.0000004236504932,0
21.5,1420,66.4,0.0523,0.0000004495804294,0
22,1420,69.2,0.0534,0.0000004765454468,0
22.5,1420,72.1,0.0544,0.000000504520567,0
23,1420,75,0.0555,0.0000005334811552,0
23.5,1420,77.9,0.0565,0.0000005634029178,0
24,1420,80.9,0.0575,0.0000005942618999,0
24.5,1420,83.8,0.0586,0.0000006260344829,0
25,1420,86.8,0.0596,0.0000006586973816,0
25.5,1420,89.8,0.0606,0.0000006922276422,0
26,1420,92.8,0.0615,0.0000007266026396,0
26.5,1420,95.8,0.0625,0.0000007618000748,0
27,1420,98.8,0.0635,0.0000007977979725,0
27.5,1420,102,0.0644,0.0000008345746789,0
28,1420,105,0.0654,0.0000008721088587,0
28.5,1420,108,0.0663,0.0000009103794933,0
29,1420,111,0.0672,0.0000009493658778,0
29.5,1420,114,0.0681,0.0000009890476189,0
30,1420,117,0.069,0.000001029404632,0
30.5,1420,120,0.0699,0.00000107041714,0
31,1420,123,0.0707,0.000001112065669,0
31.5,1420,126,0.0716,0.000001154331048,0
32,1420,129,0.0725,0.000001197194404,0
32.5,1420,132,0.0733,0.000001240637163,0
33,1420,134,0.0741,0.000001284641044,0
33.5,1420,137,0.075,0.000001329188058,0
34,1420,140,0.0758,0.000001374260508,0
34.5,1420,143,0.0766,0.000001419840983,0
35,1420,146,0.0774,0.000001465912357,0
35.5,1420,149,0.0782,0.000001512457788,0
36,1420,152,0.079,0.000001559460714,0
36.5,1420,154,0.0797,0.00000160690485,0
37,1420,157,0.0805,0.000001654774189,0
37.5,1420,160,0.0813,0.000001703052996,0
38,1420,163,0.082,0.000001751725809,0
38.5,1420,166,0.0828,0.000001800777432,0
39,1420,168,0.0835,0.000001850192938,0
39.5,1420,171,0.0842,0.000001899957665,0
40,1420,174,0.085,0.00000195005721,0
40.5,1420,177,0.0858,0.000002000477433,0
41,1420,179,0.0865,0.00000205120445,0
41.5,1420,182,0.0873,0.000002102224632,0
42,1420,185,0.088,0.000002153524604,0
42.5,1420,187,0.0887,0.000002205091243,0
43,1420,190,0.0895,0.000002256911671,0
43.5,1420,193,0.0902,0.000002308973259,0
44,1420,195,0.0909,0.000002361263622,0
44.5,1420,198,0.0916,0.000002413770617,0
45,1420,201,0.0923,0.000002466482339,0
45.5,1420,203,0.093,0.000002519387124,0
46,1420,206,0.0937,0.000002572473539,0
46.5,1420,208,0.0944,0.000002625730388,0
47,1420,211,0.0951,0.000002679146703,0
47.5,1420,213,0.0957,0.000002732711748,0
48,1420,216,0.0964,0.000002786415011,0
48.5,1420,219,0.0971,0.000002840246206,0
49,1420,221,0.0977,0.000002894195269,0
49.5,1420,224,0.0984,0.000002948252356,0
50,1420,226,0.099,0.000003002407842,0
50.5,1420,228,0.0996,0.000003056652316,0
51,1420,231,0.1,0.000003110976584,0
51.5,1420,233,0.101,0.000003165371661,0
52,1420,236,0.101,0.000003219828773,0
52.5,1420,238,0.102,0.000003274339354,0
53,1420,241,0.103,0.000003328895043,0
53.5,1420,243,0.103,0.000003383487682,0
54,1420,245,0.104,0.000003438109315,0
54.5,1420,248,0.104,0.000003492752186,0
55,1420,250,0.105,0.000003547408735,0
55.5,1420,253,0.105,0.000003602071599,0
56,1420,255,0.106,0.000003656733605,0
56.5,1420,257,0.106,0.000003711387774,0
57,1420,259,0.107,0.000003766027316,0
57.5,1420,262,0.107,0.000003820645628,0
58,1420,264,0.108,0.00000387523629,0
58.5,1420,266,0.108,0.000003929793068,0
59,1420,269,0.109,0.000003984309909,0
59.5,1420,271,0.109,0.000004038780936,0
60,1420,273,0.11,0.000004093200452,0
60.5,1420,275,0.111,0.000004147562936,0
61,1420,277,0.111,0.000004201863038,0
61.5,1420,279,0.112,0.00000425609558,0
62,1420,282,0.112,0.000004310255554,0
62.5,1420,284,0.113,0.000004364338119,0
63,1420,286,0.113,0.000004418338599,0
63.5,1420,288,0.114,0.000004472252483,0
64,1420,290,0.114,0.00000452607542,0
64.5,1420,292,0.115,0.00000457980322,0
65,1420,294,0.115,0.00000463343185,0
65.5,1420,296,0.116,0.000004686957434,0
66,1420,298,0.116,0.000004740376249,0
66.5,1420,300,0.117,0.000004793684725,0
