T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,11320,0.012,21,0,0
1.5,11320,0.0424,171,0,0
2,11320,0.09,275,0,0
2.5,11320,0.168,339,0,0
3,11320,0.288,369,0,0
3.5,11320,0.465,369,0,0
4,11320,0.71,345,0,0
4.5,11320,1.04,303,0,0
5,11320,1.75,329,0.000000662911865,1.38E-10
5.5,11320,2.48,323,0.000001107193189,2.24E-10
6,11320,3.33,314,0.000001544611319,3.1E-10
6.5,11320,4.29,303,0.000001975251611,3.97E-10
7,11320,5.36,288,0.000002399198652,4.83E-10
7.5,11320,6.53,272,0.000002816536256,5.69E-10
8,11320,7.79,253,0.000003227347473,6.55E-10
8.5,11320,9.15,233,0.000003631714591,7.41E-10
9,11320,10.6,211,0.000004029719146,8.28E-10
9.5,11320,12.1,176,0.000004421441918,8.61E-10
10,11320,13.7,165,0.000004806962944,0.000000001
10.5,11320,15.4,155,0.000005186361515,0.00000000115
11,11320,17.1,146,0.000005559716185,0.00000000131
11.5,11320,18.8,137,0.000005927104775,0.00000000147
12,11320,20.7,129,0.000006288604377,0.00000000165
12.5,11320,22.6,121,0.000006644291355,0.00000000183
13,11320,24.5,114,0.000006994241357,0.00000000203
13.5,11320,26.4,107,0.000007338529311,0.00000000223
14,11320,28.4,101,0.000007677229435,0.00000000244
14.5,11320,30.4,95.5,0.000008010415239,0.00000000266
15,11320,32.5,90.2,0.00000833815953,0.00000000289
15.5,11320,34.6,85.4,0.000008660534415,0.00000000313
16,11320,36.6,81,0.000008977611308,0.00000000337
16.5,11320,38.7,76.9,0.000009289460932,0.00000000362
17,11320,40.8,73.3,0.000009596153325,0.00000000388
17.5,11320,42.9,70,0.000009897757841,0.00000000415
18,11320,45,67,0.00001019434316,0.00000000442
18.5,11320,47,64.3,0.00001048597728,0.00000000471
19,11320,49.1,61.9,0.00001077272755,0.000000005
19.5,11320,51.4,60.4,0.00001105466062,0.00000000528
20,11320,53.1,58,0.00001133184252,0.0000000056
20.5,11320,54.7,55.9,0.0000116043386,0.00000000593
21,11320,56.3,53.9,0.00001187221355,0.00000000626
21.5,11320,57.9,52.2,0.00001213553144,0.0000000066
22,11320,59.4,50.8,0.00001239435566,0.00000000694
22.5,11320,60.9,49.5,0.000012648749,0.00000000729
23,11320,62.3,48.3,0.00001289877357,0.00000000765
23.5,11320,63.8,47.4,0.0000131444909,0.00000000801
24,11320,65.2,46.6,0.00001338596184,0.00000000838
24.5,11320,66.5,46,0.00001362324666,0.00000000874
25,11320,67.9,45.5,0.00001385640499,0.00000000912
25.5,11320,69.2,45.1,0.00001408549583,0.0000000095
26,11320,70.5,44.9,0.00001431057761,0.00000000988
26.5,11320,71.7,44.8,0.00001453170811,0.0000000103
27,11320,72.9,44.7,0.00001474894453,0.0000000106
27.5,11320,74.1,44.8,0.00001496234347,0.000000011
28,11320,75.3,44.9,0.00001517196093,0.0000000114
28.5,11320,76.4,45.1,0.00001537785232,0.0000000118
29,11320,77.5,45.4,0.00001558007246,0.0000000122
29.5,11320,78.6,46.3,0.00001577867559,0.0000000126
30,11320,79.6,46,0.00001597371538,0.000000013
30.5,11320,80.6,45.7,0.0000161652449,0.0000000134
31,11320,81.5,45.4,0.00001635331668,0.0000000138
31.5,11320,82.4,45.2,0.00001653798265,0.0000000141
32,11320,83.3,44.9,0.0000167192942,0.0000000145
32.5,11320,84.2,44.7,0.00001689730215,0.0000000149
33,11320,85,44.5,0.00001707205678,0.0000000153
33.5,11320,85.8,44.3,0.00001724360778,0.0000000156
34,11320,86.6,44.1,0.00001741200434,0.000000016
34.5,11320,87.4,44,0.00001757729508,0.0000000164
35,11320,88.1,43.8,0.00001773952806,0.0000000168
35.5,11320,88.8,43.7,0.00001789875085,0.0000000171
36,11320,89.5,43.6,0.00001805501045,0.0000000175
36.5,11320,90.2,43.5,0.00001820835335,0.0000000179
37,11320,90.9,43.4,0.0000183588255,0.0000000183
37.5,11320,91.5,43.3,0.00001850647234,0.0000000186
38,11320,92.1,43.2,0.00001865133879,0.000000019
38.5,11320,92.7,43.2,0.00001879346926,0.0000000194
39,11320,93.3,43.1,0.00001893290762,0.0000000198
39.5,11320,93.8,43.1,0.00001906969729,0.0000000201
40,11320,94.4,43,0.00001920388112,0.0000000205
40.5,11320,95,42.9,0.00001933550152,0.0000000209
41,11320,95.5,42.8,0.00001946460038,0.0000000212
41.5,11320,96,42.7,0.00001959121908,0.0000000216
42,11320,96.5,42.6,0.00001971539853,0.000000022
42.5,11320,97,42.5,0.00001983717917,0.0000000223
43,11320,97.5,42.4,0.00001995660093,0.0000000227
43.5,11320,98,42.4,0.00002007370328,0.0000000231
44,11320,98.4,42.3,0.0000201885252,0.0000000234
44.5,11320,98.9,42.2,0.00002030110523,0.0000000238
45,11320,99.3,42.1,0.00002041148141,0.0000000242
45.5,11320,99.7,42.1,0.00002051969134,0.0000000245
46,11320,100,42,0.00002062577215,0.0000000249
46.5,11320,101,41.9,0.0000207297605,0.0000000253
47,11320,101,41.9,0.00002083169263,0.0000000256
47.5,11320,101,41.8,0.00002093160431,0.000000026
48,11320,102,41.7,0.00002102953086,0.0000000264
48.5,11320,102,41.7,0.00002112550716,0.0000000267
49,11320,102,41.6,0.00002121956768,0.0000000271
49.5,11320,103,41.6,0.00002131174641,0.0000000274
50,11320,103,41.5,0.00002140207694,0.0000000278
50.5,11320,103,41.4,0.00002149059241,0.0000000282
51,11320,104,41.4,0.00002157732556,0.0000000285
51.5,11320,104,41.3,0.00002166230868,0.0000000289
52,11320,104,41.3,0.00002174557366,0.0000000292
52.5,11320,104,41.2,0.00002182715198,0.0000000296
53,11320,105,41.1,0.0000219070747,0.00000003
53.5,11320,105,41.1,0.00002198537245,0.0000000303
54,11320,105,41,0.0000220620755,0.0000000307
54.5,11320,106,41,0.00002213721369,0.000000031
55,11320,106,40.9,0.00002221081646,0.0000000314
55.5,11320,106,40.9,0.00002228291287,0.0000000318
56,11320,106,40.8,0.00002235353157,0.0000000321
56.5,11320,106,40.8,0.00002242270084,0.0000000325
57,11320,107,40.7,0.00002249044856,0.0000000328
57.5,11320,107,40.7,0.00002255680225,0.0000000332
58,11320,107,40.7,0.00002262178902,0.0000000336
58.5,11320,107,40.6,0.00002268543563,0.0000000339
59,11320,108,40.6,0.00002274776846,0.0000000343
59.5,11320,108,40.5,0.00002280881352,0.0000000346
60,11320,108,40.5,0.00002286859645,0.000000035
60.5,11320,108,40.5,0.00002292714254,0.0000000354
61,11320,108,40.5,0.0000229844767,0.0000000357
61.5,11320,109,40.4,0.0000230406235,0.0000000361
62,11320,109,40.4,0.00002309560716,0.0000000365
62.5,11320,109,40.4,0.00002314945153,0.0000000369
63,11320,109,40.4,0.00002320218014,0.0000000372
63.5,11320,110,40.4,0.00002325381616,0.0000000376
64,11320,110,40.4,0.00002330438241,0.000000038
64.5,11320,110,40.4,0.0000233539014,0.0000000383
65,11320,110,40.4,0.00002340239527,0.0000000387
65.5,11320,110,40.4,0.00002344988586,0.0000000391
66,11320,111,40.3,0.00002349639466,0.0000000394
66.5,11320,111,40.3,0.00002354194285,0.0000000398
67,11320,111,40.3,0.00002358655128,0.0000000402
67.5,11320,111,40.3,0.00002363024049,0.0000000406
68,11320,111,40.3,0.00002367303067,0.0000000409
68.5,11320,112,40.3,0.00002371494174,0.0000000413
69,11320,112,40.2,0.00002375599329,0.0000000417
69.5,11320,112,40.2,0.00002379620459,0.000000042
70,11320,112,40.2,0.00002383559463,0.0000000424
70.5,11320,112,40.2,0.00002387418207,0.0000000428
71,11320,112,40.1,0.00002391198531,0.0000000431
71.5,11320,112,40.1,0.00002394902241,0.0000000435
72,11320,112,40,0.00002398531117,0.0000000438
72.5,11320,113,40,0.00002402086908,0.0000000442
73,11320,113,39.9,0.00002405571336,0.0000000445
73.5,11320,113,39.9,0.00002408986092,0.0000000449
74,11320,113,39.8,0.00002412332841,0.0000000453
74.5,11320,113,39.7,0.0000241561322,0.0000000456
75,11320,113,39.7,0.00002418828837,0.000000046
75.5,11320,113,39.6,0.00002421981273,0.0000000463
76,11320,113,39.5,0.00002425072084,0.0000000467
76.5,11320,113,39.5,0.00002428102796,0.000000047
77,11320,113,39.4,0.00002431074911,0.0000000474
77.5,11320,114,39.4,0.00002433989904,0.0000000477
78,11320,114,39.3,0.00002436849223,0.0000000481
78.5,11320,114,39.2,0.00002439654292,0.0000000484
79,11320,114,39.1,0.00002442406509,0.0000000488
79.5,11320,114,39.1,0.00002445107245,0.0000000491
80,11320,114,39,0.00002447757849,0.0000000495
80.5,11320,114,38.9,0.00002450359644,0.0000000499
81,11320,114,38.9,0.00002452913929,0.0000000502
81.5,11320,114,38.8,0.00002455421978,0.0000000506
82,11320,114,38.7,0.00002457885042,0.0000000509
82.5,11320,115,38.6,0.00002460304348,0.0000000513
83,11320,115,38.5,0.000024626811,0.0000000516
83.5,11320,115,38.5,0.00002465016479,0.000000052
84,11320,115,38.4,0.00002467311644,0.0000000524
84.5,11320,115,38.3,0.00002469567729,0.0000000527
85,11320,115,38.2,0.00002471785848,0.0000000531
85.5,11320,115,38.2,0.00002473967092,0.0000000534
86,11320,115,38.1,0.00002476112531,0.0000000538
86.5,11320,115,38,0.00002478223212,0.0000000542
87,11320,115,37.9,0.00002480300163,0.0000000545
87.5,11320,116,37.9,0.00002482344388,0.0000000549
88,11320,116,37.8,0.00002484356873,0.0000000553
88.5,11320,116,37.7,0.00002486338581,0.0000000556
89,11320,116,37.6,0.00002488290457,0.000000056
89.5,11320,116,37.6,0.00002490213425,0.0000000563
90,11320,116,37.5,0.00002492108389,0.0000000567
90.5,11320,116,37.4,0.00002493976233,0.0000000571
91,11320,116,37.4,0.00002495817823,0.0000000574
91.5,11320,116,37.3,0.00002497634004,0.0000000578
92,11320,116,37.3,0.00002499425605,0.0000000582
92.5,11320,117,37.2,0.00002501193434,0.0000000585
93,11320,117,37.2,0.0000250293828,0.0000000589
93.5,11320,117,37.1,0.00002504660917,0.0000000592
94,11320,117,37,0.00002506362098,0.0000000596
94.5,11320,117,37,0.0000250804256,0.00000006
95,11320,117,36.9,0.00002509703022,0.0000000603
95.5,11320,117,36.9,0.00002511344185,0.0000000607
96,11320,117,36.8,0.00002512966736,0.0000000611
96.5,11320,117,36.8,0.00002514571341,0.0000000614
97,11320,117,36.8,0.00002516158653,0.0000000618
97.5,11320,118,36.7,0.00002517729306,0.0000000622
98,11320,118,36.7,0.00002519283919,0.0000000625
98.5,11320,118,36.6,0.00002520823096,0.0000000629
99,11320,118,36.6,0.00002522347425,0.0000000633
99.5,11320,118,36.5,0.00002523857476,0.0000000636
100,11320,118,36.5,0.00002525353808,0.000000064
100.5,11320,118,36.5,0.00002526836962,0.0000000644
101,11320,118,36.4,0.00002528307464,0.0000000647
101.5,11320,118,36.4,0.00002529765828,0.0000000651
102,11320,118,36.4,0.00002531212551,0.0000000655
102.5,11320,118,36.3,0.00002532648118,0.0000000658
103,11320,118,36.3,0.00002534072997,0.0000000662
103.5,11320,119,36.3,0.00002535487645,0.0000000665
104,11320,119,36.2,0.00002536892506,0.0000000669
104.5,11320,119,36.2,0.00002538288007,0.0000000673
105,11320,119,36.2,0.00002539674565,0.0000000676
105.5,11320,119,36.1,0.00002541052584,0.000000068
106,11320,119,36.1,0.00002542422453,0.0000000684
106.5,11320,119,36.1,0.00002543784551,0.0000000687
107,11320,119,36.1,0.00002545139242,0.0000000691
107.5,11320,119,36,0.00002546486882,0.0000000694
108,11320,119,36,0.0000254782781,0.0000000698
108.5,11320,119,36,0.00002549162357,0.0000000702
109,11320,119,36,0.00002550490841,0.0000000705
109.5,11320,119,36,0.00002551813569,0.0000000709
110,11320,119,35.9,0.00002553130835,0.0000000713
110.5,11320,120,35.9,0.00002554442926,0.0000000716
111,11320,120,35.9,0.00002555750115,0.000000072
111.5,11320,120,35.9,0.00002557052664,0.0000000723
112,11320,120,35.9,0.00002558350827,0.0000000727
112.5,11320,120,35.8,0.00002559644847,0.0000000731
113,11320,120,35.8,0.00002560934956,0.0000000734
113.5,11320,120,35.8,0.00002562221376,0.0000000738
114,11320,120,35.8,0.00002563504321,0.0000000741
114.5,11320,120,35.8,0.00002564783994,0.0000000745
115,11320,120,35.8,0.00002566060589,0.0000000749
115.5,11320,120,35.8,0.00002567334291,0.0000000752
116,11320,120,35.8,0.00002568605277,0.0000000756
116.5,11320,120,35.8,0.00002569873712,0.0000000759
117,11320,120,35.7,0.00002571139757,0.0000000763
117.5,11320,120,35.7,0.00002572403561,0.0000000767
118,11320,120,35.7,0.00002573665266,0.000000077
118.5,11320,120,35.7,0.00002574925005,0.0000000774
119,11320,120,35.7,0.00002576182905,0.0000000777
119.5,11320,120,35.7,0.00002577439083,0.0000000781
120,11320,121,35.7,0.0000257869365,0.0000000785
120.5,11320,121,35.7,0.00002579946708,0.0000000788
121,11320,121,35.7,0.00002581198353,0.0000000792
121.5,11320,121,35.7,0.00002582448675,0.0000000795
122,11320,121,35.7,0.00002583697753,0.0000000799
122.5,11320,121,35.7,0.00002584945663,0.0000000803
123,11320,121,35.7,0.00002586192474,0.0000000806
123.5,11320,121,35.7,0.00002587438246,0.000000081
124,11320,121,35.7,0.00002588683034,0.0000000813
124.5,11320,121,35.7,0.00002589926889,0.0000000817
125,11320,121,35.7,0.00002591169852,0.0000000821
125.5,11320,121,35.7,0.00002592411962,0.0000000824
126,11320,121,35.7,0.00002593653248,0.0000000828
126.5,11320,121,35.7,0.00002594893738,0.0000000831
127,11320,121,35.7,0.00002596133452,0.0000000835
127.5,11320,121,35.7,0.00002597372405,0.0000000839
128,11320,121,35.7,0.00002598610606,0.0000000842
128.5,11320,121,35.7,0.00002599848061,0.0000000846
129,11320,121,35.7,0.00002601084769,0.0000000849
129.5,11320,121,35.7,0.00002602320727,0.0000000853
130,11320,121,35.7,0.00002603555925,0.0000000857
130.5,11320,121,35.8,0.0000260479035,0.000000086
131,11320,121,35.8,0.00002606023983,0.0000000864
131.5,11320,121,35.8,0.00002607256803,0.0000000867
132,11320,121,35.8,0.00002608488784,0.0000000871
132.5,11320,121,35.8,0.00002609719894,0.0000000874
133,11320,121,35.8,0.00002610950102,0.0000000878
133.5,11320,121,35.8,0.0000261217937,0.0000000882
134,11320,121,35.8,0.00002613407656,0.0000000885
134.5,11320,121,35.8,0.00002614634916,0.0000000889
135,11320,121,35.8,0.00002615861104,0.0000000892
135.5,11320,121,35.8,0.00002617086168,0.0000000896
136,11320,122,35.9,0.00002618310056,0.00000009
