T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,3890,0.0000093,2.7,0,0
1.5,3890,-0.0000221,7.24,0,0
2,3890,0.000074,17.2,0,0
2.5,3890,0.000376,32.6,0,0
3,3890,0.000962,53.3,0,0
3.5,3890,0.00191,79.4,0,0
4,3890,0.0033,111,0,0
4.5,3890,0.00521,148,0,0
5,3890,0.00796,192,0,0
5.5,3890,0.0113,240,0,0
6,3890,0.0154,294,0,0
6.5,3890,0.0203,353,0,0
7,3890,0.0262,417,0,0
7.5,3890,0.0329,486,0,0
8,3890,0.0406,560,0,0
8.5,3890,0.0495,638,0,0
9,3890,0.0594,721,0,0
9.5,3890,0.0718,803,0,0
10,3890,0.083,900,0,0
10.5,3890,0.0954,1000,0,0
11,3890,0.109,1110,0,0
11.5,3890,0.124,1220,0,0
12,3890,0.141,1330,0,0
12.5,3890,0.159,1450,0,0
13,3890,0.179,1570,0,0
13.5,3890,0.201,1690,0,0
14,3890,0.225,1820,0,0
14.5,3890,0.25,1940,0,0
15,3890,0.278,2070,0,0
15.5,3890,0.308,2210,0,0
16,3890,0.341,2340,0,0
16.5,3890,0.375,2470,0,0
17,3890,0.413,2610,0,0
17.5,3890,0.452,2750,0,0
18,3890,0.495,2880,0,0
18.5,3890,0.54,3020,0,0
19,3890,0.589,3160,0,0
19.5,3890,0.642,3300,0,0
20,3890,0.694,3430,9.868896326E-09,0
20.5,3890,0.749,3560,2.338811681E-08,0
21,3890,0.808,3690,3.687625925E-08,0
21.5,3890,0.87,3820,5.033338304E-08,0
22,3890,0.935,3940,6.375954754E-08,0
22.5,3890,1,4070,7.715481213E-08,0
23,3890,1.08,4190,9.051923621E-08,0
23.5,3890,1.15,4310,0.0000001038528791,0
24,3890,1.24,4430,0.0000001171558003,0
24.5,3890,1.32,4550,0.0000001304280591,0
25,3890,1.41,4660,0.0000001436697149,0
25.5,3890,1.51,4770,0.000000156880827,0
26,3890,1.6,4880,0.000000170061455,0
26.5,3890,1.71,4980,0.000000183211658,0
27,3890,1.82,5080,0.0000001963314956,0
27.5,3890,1.93,5180,0.000000209421027,0
28,3890,2.05,5270,0.0000002224803118,0
28.5,3890,2.17,5360,0.0000002355094092,0
29,3890,2.3,5450,0.0000002485083786,0
29.5,3890,2.44,5540,0.0000002614772794,0
30,3890,2.58,5600,0.0000002744161711,0
30.5,3890,2.72,5650,0.0000002873251129,0
31,3890,2.87,5700,0.0000003002041642,0
31.5,3890,3.03,5740,0.0000003130533845,0
32,3890,3.19,5770,0.0000003258728331,0
32.5,3890,3.36,5800,0.0000003386625694,0
33,3890,3.53,5830,0.0000003514226528,0
33.5,3890,3.71,5850,0.0000003641531426,0
34,3890,3.9,5870,0.0000003768540983,0
34.5,3890,4.1,5890,0.0000003895255791,0
