T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,8027,0.62,0.0816,0,0.000000685
1.5,8027,0.89,0.125,0,0.000000684
2,8027,1.16,0.17,0,0.000000684
2.5,8027,1.43,0.216,0,0.000000684
3,8027,1.7,0.262,0,0.000000684
3.5,8027,1.97,0.31,0,0.000000684
4,8027,2.24,0.357,0,0.000000683
4.5,8027,2.51,0.406,0,0.000000683
5,8027,2.76,0.454,0,0.000000683
5.5,8027,3.01,0.504,0,0.000000683
6,8027,3.26,0.553,0,0.000000683
6.5,8027,3.5,0.603,0,0.000000683
7,8027,3.75,0.654,0,0.000000682
7.5,8027,4,0.704,0,0.000000682
8,8027,4.24,0.756,0,0.000000682
8.5,8027,4.49,0.807,0,0.000000682
9,8027,4.74,0.859,0,0.000000682
9.5,8027,5,0.912,0,0.000000682
10,8027,5.25,0.963,0,0.000000681
10.5,8027,5.5,1.01,0,0.000000681
11,8027,5.76,1.07,0,0.000000681
11.5,8027,6.02,1.12,0,0.000000681
12,8027,6.28,1.17,0,0.000000681
12.5,8027,6.56,1.22,0,0.000000681
13,8027,6.84,1.27,0,0.000000681
13.5,8027,7.13,1.33,0,0.000000681
14,8027,7.43,1.38,0,0.000000681
14.5,8027,7.74,1.43,0,0.00000068
15,8027,8.06,1.48,0,0.00000068
15.5,8027,8.4,1.54,0,0.00000068
16,8027,8.75,1.59,0,0.00000068
16.5,8027,9.11,1.64,0,0.00000068
17,8027,9.49,1.7,0,0.00000068
17.5,8027,9.88,1.75,0,0.00000068
18,8027,10.3,1.8,1.321250197E-08,0.000000681
18.5,8027,10.7,1.86,4.533177781E-08,0.000000681
19,8027,11.2,1.91,7.872478938E-08,0.000000681
19.5,8027,11.7,1.96,0.0000001133613937,0.000000681
20,8027,12.1,2.02,0.0000001492118338,0.000000681
20.5,8027,12.6,2.08,0.0000001862467356,0.000000681
21,8027,13.1,2.13,0.0000002244371052,0.000000681
21.5,8027,13.6,2.19,0.000000263754326,0.000000682
22,8027,14.2,2.24,0.0000003041701559,0.000000682
22.5,8027,14.8,2.3,0.0000003456567242,0.000000682
23,8027,15.4,2.36,0.000000388186529,0.000000683
23.5,8027,16,2.41,0.0000004317324343,0.000000683
24,8027,16.7,2.47,0.000000476267667,0.000000683
24.5,8027,17.4,2.52,0.0000005217658144,0.000000684
25,8027,18.1,2.58,0.0000005682008213,0.000000684
25.5,8027,18.9,2.64,0.0000006155469869,0.000000685
26,8027,19.7,2.69,0.0000006637789626,0.000000685
26.5,8027,20.5,2.75,0.0000007128717486,0.000000685
27,8027,21.4,2.8,0.0000007628006916,0.000000686
27.5,8027,22.4,2.85,0.0000008135414817,0.000000686
28,8027,23.3,2.91,0.0000008650701501,0.000000687
28.5,8027,24.3,2.96,0.000000917363066,0.000000687
29,8027,25.4,3.02,0.0000009703969337,0.000000688
29.5,8027,26.2,3.07,0.000001024148791,0.000000688
30,8027,27.7,3.12,0.000001078596004,0.000000688
30.5,8027,29.2,3.17,0.000001133716268,0.000000689
31,8027,30.7,3.22,0.000001189487602,0.000000689
31.5,8027,32.3,3.26,0.000001245888346,0.00000069
32,8027,33.9,3.31,0.000001302897161,0.00000069
32.5,8027,35.5,3.36,0.000001360493024,0.00000069
33,8027,37.2,3.41,0.000001418655225,0.000000691
33.5,8027,39,3.45,0.000001477363367,0.000000691
34,8027,40.7,3.5,0.00000153659736,0.000000691
34.5,8027,42.5,3.54,0.00000159633742,0.000000692
35,8027,44.3,3.59,0.000001656564069,0.000000692
35.5,8027,46.2,3.63,0.000001717258127,0.000000693
36,8027,48.1,3.68,0.000001778400714,0.000000693
36.5,8027,49.9,3.72,0.000001839973245,0.000000693
37,8027,51.8,3.76,0.000001901957429,0.000000694
37.5,8027,53.7,3.81,0.000001964335263,0.000000694
38,8027,55.7,3.85,0.000002027089036,0.000000695
38.5,8027,57.6,3.89,0.00000209020132,0.000000695
39,8027,59.5,3.94,0.000002153654971,0.000000695
39.5,8027,61.7,3.98,0.000002217433123,0.000000696
40,8027,63.4,4.02,0.000002281519193,0.000000696
40.5,8027,65.2,4.07,0.000002345896868,0.000000696
41,8027,66.9,4.12,0.000002410550112,0.000000697
41.5,8027,68.6,4.16,0.000002475463157,0.000000697
42,8027,70.4,4.21,0.000002540620506,0.000000698
42.5,8027,72.1,4.25,0.000002606006923,0.000000698
43,8027,73.9,4.3,0.000002671607441,0.000000698
43.5,8027,75.6,4.34,0.000002737407348,0.000000699
44,8027,77.3,4.38,0.000002803392194,0.000000699
44.5,8027,79.1,4.43,0.000002869547784,0.000000699
45,8027,80.8,4.47,0.000002935860176,0.0000007
45.5,8027,82.5,4.52,0.00000300231568,0.0000007
46,8027,84.3,4.56,0.000003068900854,0.000000701
46.5,8027,86,4.6,0.000003135602502,0.000000701
47,8027,87.7,4.64,0.000003202407673,0.000000701
47.5,8027,89.5,4.69,0.000003269303657,0.000000702
48,8027,91.2,4.73,0.000003336277983,0.000000702
48.5,8027,93,4.77,0.000003403318418,0.000000702
49,8027,94.7,4.81,0.000003470412963,0.000000703
49.5,8027,96.4,4.85,0.00000353754985,0.000000703
50,8027,98.2,4.89,0.000003604717543,0.000000704
50.5,8027,100,4.93,0.000003671904732,0.000000704
51,8027,102,4.96,0.000003739100335,0.000000704
51.5,8027,104,5,0.000003806293491,0.000000705
52,8027,105,5.03,0.00000387347356,0.000000705
52.5,8027,107,5.07,0.000003940630121,0.000000706
53,8027,109,5.1,0.000004007752969,0.000000706
53.5,8027,111,5.14,0.000004074832113,0.000000706
54,8027,113,5.17,0.000004141857776,0.000000707
54.5,8027,115,5.2,0.000004208820388,0.000000707
55,8027,116,5.24,0.000004275710588,0.000000707
55.5,8027,118,5.27,0.00000434251922,0.000000708
56,8027,120,5.3,0.00000440923733,0.000000708
56.5,8027,122,5.33,0.000004475856167,0.000000709
57,8027,124,5.36,0.000004542367177,0.000000709
57.5,8027,125,5.39,0.000004608762004,0.000000709
58,8027,127,5.43,0.000004675032485,0.00000071
58.5,8027,129,5.46,0.000004741170651,0.00000071
59,8027,131,5.49,0.000004807168721,0.00000071
59.5,8027,132,5.52,0.000004873019105,0.000000711
60,8027,134,5.55,0.000004938714396,0.000000711
60.5,8027,136,5.58,0.000005004247373,0.000000712
61,8027,138,5.61,0.000005069610996,0.000000712
61.5,8027,139,5.64,0.000005134798404,0.000000712
62,8027,141,5.67,0.000005199802916,0.000000713
