T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,4540,0.07,0.4,0,0
1.5,4540,0.0928,1.53,0,0
2,4540,0.122,2.5,0,0
2.5,4540,0.157,3.33,0,0.00000000459
3,4540,0.199,4.03,0,0.00000000918
3.5,4540,0.245,4.63,0,0.0000000138
4,4540,0.298,5.16,0,0.0000000184
4.5,4540,0.355,5.62,0,0.0000000202
5,4540,0.401,6.37,0,0.0000000241
5.5,4540,0.457,7.01,0,0.0000000257
6,4540,0.517,7.64,0,0.0000000268
6.5,4540,0.583,8.27,0,0.0000000273
7,4540,0.654,8.91,0,0.0000000275
7.5,4540,0.733,9.54,0,0.0000000271
8,4540,0.818,10.2,0,0.0000000265
8.5,4540,0.912,10.8,0,0.0000000255
9,4540,1.01,11.4,0.0000000178960364,0.0000000242
9.5,4540,1.14,12,4.603065923E-08,0.000000021
10,4540,1.25,12.7,7.410040959E-08,0.000000021
10.5,4540,1.38,13.4,0.0000001021054127,0.000000021
11,4540,1.51,14.1,0.0000001300457938,0.0000000211
11.5,4540,1.66,14.8,0.000000157921678,0.0000000211
12,4540,1.82,15.5,0.0000001857331906,0.0000000212
12.5,4540,2,16.2,0.0000002134804568,0.0000000212
13,4540,2.19,16.9,0.0000002411636017,0.0000000213
13.5,4540,2.4,17.6,0.0000002687827507,0.0000000213
14,4540,2.62,18.3,0.0000002963380288,0.0000000213
14.5,4540,2.87,19,0.0000003238295613,0.0000000214
15,4540,3.13,19.7,0.0000003512574734,0.0000000214
15.5,4540,3.41,20.4,0.0000003786218903,0.0000000215
16,4540,3.71,21.1,0.0000004059229372,0.0000000215
16.5,4540,4.04,21.8,0.0000004331607393,0.0000000216
17,4540,4.39,22.5,0.0000004603354219,0.0000000216
17.5,4540,4.76,23.1,0.00000048744711,0.0000000217
18,4540,5.15,23.8,0.000000514495929,0.0000000217
18.5,4540,5.57,24.4,0.0000005414820041,0.0000000218
19,4540,6.02,25.1,0.0000005684054603,0.0000000219
19.5,4540,6.46,25.8,0.000000595266423,0.0000000219
20,4540,7,26.3,0.0000006220650174,0.000000022
20.5,4540,7.57,26.8,0.0000006488013686,0.0000000221
21,4540,8.17,27.3,0.0000006754756018,0.0000000222
21.5,4540,8.79,27.8,0.0000007020878424,0.0000000223
22,4540,9.45,28.3,0.0000007286382154,0.0000000224
22.5,4540,10.1,28.8,0.000000755126846,0.0000000225
23,4540,10.9,29.2,0.0000007815538596,0.0000000226
23.5,4540,11.6,29.7,0.0000008079193812,0.0000000228
24,4540,12.4,30.1,0.0000008342235361,0.0000000229
24.5,4540,13.2,30.5,0.0000008604664495,0.000000023
25,4540,14.1,30.9,0.0000008866482466,0.0000000232
25.5,4540,15,31.3,0.0000009127690527,0.0000000233
26,4540,15.9,31.6,0.0000009388289928,0.0000000235
26.5,4540,16.8,32,0.0000009648281922,0.0000000237
27,4540,17.8,32.3,0.0000009907667762,0.0000000238
27.5,4540,18.8,32.6,0.00000101664487,0.000000024
28,4540,19.9,32.9,0.000001042462599,0.0000000242
28.5,4540,21,33.2,0.000001068220087,0.0000000244
29,4540,22.1,33.5,0.000001093917461,0.0000000246
29.5,4540,23.2,33.8,0.000001119554846,0.0000000248
30,4540,24.5,34,0.000001145132366,0.000000025
30.5,4540,25.8,34.2,0.000001170650148,0.0000000252
31,4540,27.2,34.4,0.000001196108315,0.0000000255
31.5,4540,28.5,34.6,0.000001221506994,0.0000000257
32,4540,30,34.8,0.00000124684631,0.000000026
32.5,4540,31.4,34.9,0.000001272126387,0.0000000263
33,4540,32.9,35.1,0.000001297347351,0.0000000266
33.5,4540,34.4,35.2,0.000001322509327,0.0000000268
34,4540,36,35.4,0.000001347612441,0.0000000271
34.5,4540,37.6,35.5,0.000001372656818,0.0000000274
35,4540,39.2,35.6,0.000001397642582,0.0000000277
35.5,4540,40.9,35.7,0.000001422569859,0.000000028
36,4540,42.6,35.7,0.000001447438774,0.0000000283
36.5,4540,44.3,35.8,0.000001472249453,0.0000000287
37,4540,46,35.9,0.000001497002021,0.000000029
37.5,4540,47.8,35.9,0.000001521696602,0.0000000293
38,4540,49.6,36,0.000001546333322,0.0000000296
38.5,4540,51.4,36,0.000001570912307,0.00000003
39,4540,53.3,36,0.000001595433681,0.0000000303
39.5,4540,55.2,36,0.000001619897569,0.0000000307
40,4540,57.1,36,0.000001644304098,0.000000031
40.5,4540,59.1,36,0.000001668653391,0.0000000313
41,4540,61,35.9,0.000001692945575,0.0000000316
41.5,4540,63,35.9,0.000001717180774,0.000000032
42,4540,65.1,35.9,0.000001741359114,0.0000000323
42.5,4540,67.1,35.8,0.00000176548072,0.0000000326
43,4540,69.2,35.7,0.000001789545717,0.000000033
43.5,4540,71.3,35.7,0.00000181355423,0.0000000333
44,4540,73.4,35.6,0.000001837506385,0.0000000337
44.5,4540,75.5,35.5,0.000001861402306,0.000000034
45,4540,77.7,35.4,0.00000188524212,0.0000000344
45.5,4540,79.8,35.4,0.00000190902595,0.0000000348
46,4540,82,35.3,0.000001932753923,0.0000000352
46.5,4540,84.2,35.2,0.000001956426163,0.0000000355
47,4540,86.4,35.1,0.000001980042796,0.0000000359
47.5,4540,88.7,35,0.000002003603947,0.0000000363
48,4540,90.9,34.9,0.000002027109741,0.0000000368
48.5,4540,93.2,34.8,0.000002050560304,0.0000000372
49,4540,95.4,34.7,0.000002073955759,0.0000000376
49.5,4540,97.7,34.6,0.000002097296234,0.000000038
50,4540,100,34.5,0.000002120581853,0.0000000385
50.5,4540,102,34.4,0.000002143812741,0.000000039
51,4540,105,34.4,0.000002166989023,0.0000000395
51.5,4540,107,34.3,0.000002190110825,0.0000000401
52,4540,109,34.3,0.000002213178271,0.0000000406
52.5,4540,112,34.2,0.000002236191488,0.0000000411
53,4540,114,34.2,0.000002259150599,0.0000000417
53.5,4540,116,34.1,0.000002282055731,0.0000000422
54,4540,119,34.1,0.000002304907009,0.0000000428
54.5,4540,121,34,0.000002327704558,0.0000000434
55,4540,123,34,0.000002350448502,0.000000044
55.5,4540,126,33.9,0.000002373138968,0.0000000446
56,4540,128,33.9,0.00000239577608,0.0000000451
56.5,4540,130,33.8,0.000002418359964,0.0000000457
57,4540,133,33.8,0.000002440890744,0.0000000463
57.5,4540,135,33.7,0.000002463368547,0.0000000469
58,4540,137,33.7,0.000002485793497,0.0000000475
58.5,4540,140,33.6,0.000002508165719,0.0000000482
59,4540,142,33.6,0.000002530485339,0.0000000488
59.5,4540,144,33.6,0.000002552752482,0.0000000494
60,4540,147,33.5,0.000002574967273,0.00000005
60.5,4540,149,33.5,0.000002597129837,0.0000000506
61,4540,151,33.4,0.000002619240299,0.0000000512
61.5,4540,153,33.4,0.000002641298786,0.0000000518
62,4540,155,33.3,0.000002663305421,0.0000000524
62.5,4540,158,33.3,0.00000268526033,0.000000053
63,4540,160,33.2,0.000002707163638,0.0000000536
63.5,4540,162,33.2,0.000002729015471,0.0000000542
64,4540,164,33.1,0.000002750815954,0.0000000548
64.5,4540,166,33.1,0.000002772565212,0.0000000554
65,4540,168,33,0.00000279426337,0.000000056
65.5,4540,170,33,0.000002815910553,0.0000000566
66,4540,172,32.9,0.000002837506886,0.0000000572
66.5,4540,175,32.9,0.000002859052495,0.0000000578
67,4540,177,32.8,0.000002880547506,0.0000000584
67.5,4540,179,32.8,0.000002901992042,0.000000059
68,4540,181,32.7,0.00000292338623,0.0000000596
68.5,4540,183,32.7,0.000002944730194,0.0000000602
69,4540,185,32.6,0.00000296602406,0.0000000608
69.5,4540,187,32.6,0.000002987267953,0.0000000615
70,4540,189,32.5,0.000003008461998,0.000000062
70.5,4540,191,32.4,0.000003029606321,0.0000000625
71,4540,193,32.4,0.000003050701046,0.0000000631
71.5,4540,195,32.3,0.000003071746299,0.0000000636
72,4540,197,32.3,0.000003092742204,0.0000000641
72.5,4540,199,32.2,0.000003113688888,0.0000000646
73,4540,202,32.2,0.000003134586476,0.0000000652
73.5,4540,204,32.1,0.000003155435092,0.0000000657
74,4540,206,32.1,0.000003176234862,0.0000000662
74.5,4540,208,32,0.000003196985911,0.0000000668
75,4540,210,32,0.000003217688364,0.0000000673
75.5,4540,212,31.9,0.000003238342346,0.0000000679
76,4540,214,31.9,0.000003258947983,0.0000000684
76.5,4540,216,31.8,0.0000032795054,0.000000069
77,4540,218,31.8,0.000003300014722,0.0000000695
77.5,4540,220,31.7,0.000003320476074,0.0000000701
78,4540,222,31.7,0.000003340889582,0.0000000706
78.5,4540,224,31.6,0.00000336125537,0.0000000712
79,4540,226,31.6,0.000003381573564,0.0000000718
79.5,4540,228,31.5,0.000003401844289,0.0000000723
80,4540,230,31.5,0.000003422067671,0.000000073
80.5,4540,232,31.5,0.000003442243834,0.0000000737
81,4540,234,31.4,0.000003462372903,0.0000000745
81.5,4540,236,31.4,0.000003482455005,0.0000000752
82,4540,238,31.3,0.000003502490263,0.000000076
82.5,4540,240,31.3,0.000003522478804,0.0000000767
