iteration,unified_error,dT,dP,dQ,Q_total,energy_imbalance,damping
0,0.6820423048650236,0.05496191381362342,0.2934929206983543,1.5033973879997584,82033.30546291183,8.367652905860897,0.1545
1,0.4017589223617285,0.12779206978409988,0.21725917727463456,0.7679756474829041,83397.5791184954,6.996140450064319,0.159135
2,0.22836650698671485,0.12103947532383116,0.122759143335864,0.388497220475024,94830.847857392,5.2020745843495355,0.16390905
3,0.07350634527584365,0.08351281573996537,0.03883583304828607,0.08083513092550074,107095.40865862096,3.873517073182848,0.16882632150000002
4,0.06668656904121856,0.0541694265939608,0.010759662806034758,0.10716716460606822,116725.52286747536,2.9739506517682495,0.17389111114500003
5,0.06270053071332563,0.034278875164833335,0.03061057402482455,0.10716716460606848,123617.04901405936,2.3350294238035074,0.17910784447935002
6,0.05748143180478331,0.020034303386569308,0.03300422303864102,0.10716716460606844,127413.9399286096,1.2969608300993716,0.18448107981373052
7,0.052166855829417894,0.009575259005968485,0.02734943192301557,0.10716716460606845,129455.4817568955,0.5821282170137203,0.19001551220814245
8,0.049610329538694764,0.007367937573851863,0.01898144333363342,0.10716716460606834,130481.20954372073,0.4633455708359525,0.19571597757438672
9,0.048908868209048856,0.009966920949821151,0.010276169933465062,0.10716716460606845,130076.5666388456,0.38164822782896085,0.20158745690161833
10,0.04917789900914003,0.014642368574220481,0.002270428685122544,0.10716716460606834,128482.2286411061,0.315326182986587,0.2076350806086669
11,0.05157252618277923,0.01915784467886875,0.005212612344021877,0.10716716460606839,125927.88845004287,0.2577792150632951,0.21386413302692692
12,0.05451700640531396,0.023216327876202345,0.01181804706202871,0.10716716460606819,122624.30108401093,0.21013200720216926,0.18178451307288787
13,0.05536766750431259,0.02235584080234084,0.01779232670474461,0.10716716460606832,118751.4696298617,0.1707747548195637,0.18723804846507452
14,0.05744139181119649,0.025840818975369505,0.021190991893106893,0.10716716460606827,115213.47666987007,0.14406015488857538,0.19285518991902675
15,0.05950480803556103,0.029086786783557545,0.02501613739855353,0.10716716460606826,111302.24217584581,0.1212263052060679,0.19864084561659756
16,0.0570261543430028,0.03149380448573121,0.029013030105449134,0.09656506631905121,107118.41120278666,0.10168137285668662,0.2046000709850955
17,0.1155387511743293,0.030126379380206937,0.032625276703845296,0.24240786020369368,102840.22694695169,0.08487769565079469,0.17391006033733117
18,0.17427702312363716,0.01795781591136204,0.03401111885864246,0.4007291824684096,98921.52061534743,0.07018713631076373,0.1478235512867315
19,0.19277847119814448,0.009079198126571882,0.02885361623451489,0.4584401717515319,96589.77944964073,0.059650057534318575,0.12565001859372177
20,0.18505543881625533,0.00881101979068276,0.019436989658523734,0.4441090824206937,95676.4437895033,0.051329878660224225,0.12941951915153344
21,0.16564408115706808,0.013379615132325882,0.008896904167787104,0.39628213567645076,95764.49785636569,0.04484275406898452,0.13330210472607945
22,0.14194519326976468,0.016231010149838396,0.0037286820461298283,0.33676763200150833,96507.98889115227,0.03873570056396001,0.13730116786786184
23,0.1192478406323042,0.016879531722226712,0.00959367857961812,0.2764432305687247,97590.32091912074,0.033192946306012286,0.1414202029038977
24,0.09864475175779039,0.01602049578004559,0.01475571528603337,0.22321352597141372,98681.5526433318,0.02831514094762978,0.14566280899101464
25,0.08203359966901592,0.01424940659243628,0.016691399605631933,0.18248889277728755,99536.86438294794,0.02410170700274771,0.1500326932607451
26,0.07091477441859775,0.011934047662536503,0.01602520249342128,0.15734028713724724,100023.74035716556,0.02049102862655453,0.15453367405856744
27,0.06618382452873472,0.009937840923813753,0.013663875497376571,0.14868978264933477,100102.45559001589,0.01740964654274833,0.15916968428032446
28,0.06851553280436828,0.010444778710077195,0.010447755279559549,0.15562017566106373,99793.86719763887,0.014787698756803127,0.1639447748087342
29,0.07621968958906872,0.011531663533091359,0.007039745375522022,0.17549768775181943,99159.753905021,0.012556941254466969,0.13935305858742408
