Re_channel,h_bare,h_packed_lower,h_packed_nominal,h_packed_upper,f_bare,f_packed
1.000000e+02,3.215110e+02,3.339040e+03,2.860029e+03,2.222390e+03,1.059658e+00,1.681540e+02
1.098541e+02,3.409620e+02,3.417129e+03,2.926415e+03,2.273459e+03,1.040512e+00,1.603781e+02
1.206793e+02,3.615898e+02,3.502754e+03,2.999226e+03,2.329488e+03,1.021713e+00,1.532997e+02
1.325711e+02,3.834656e+02,3.596647e+03,3.079085e+03,2.390961e+03,1.003253e+00,1.468562e+02
1.456348e+02,4.066648e+02,3.699610e+03,3.166680e+03,2.458410e+03,9.851268e-01,1.409907e+02
1.599859e+02,4.312676e+02,3.812525e+03,3.262763e+03,2.532418e+03,9.673280e-01,1.356513e+02
1.757511e+02,4.573588e+02,3.936360e+03,3.368161e+03,2.613626e+03,9.498508e-01,1.307910e+02
1.930698e+02,4.850285e+02,4.072177e+03,3.483782e+03,2.702738e+03,9.326894e-01,1.263665e+02
2.120951e+02,5.143722e+02,4.221141e+03,3.610623e+03,2.800525e+03,9.158380e-01,1.223390e+02
2.329952e+02,5.454911e+02,4.384534e+03,3.749779e+03,2.907835e+03,8.992911e-01,1.186728e+02
2.559548e+02,5.784927e+02,4.563760e+03,3.902449e+03,3.025601e+03,8.830431e-01,1.153354e+02
2.811769e+02,6.134908e+02,4.760361e+03,4.069954e+03,3.154845e+03,8.670888e-01,1.122974e+02
3.088844e+02,6.506063e+02,4.976032e+03,4.253742e+03,3.296689e+03,8.514226e-01,1.095319e+02
3.393222e+02,6.899672e+02,5.212630e+03,4.455402e+03,3.452367e+03,8.360396e-01,1.070144e+02
3.727594e+02,7.317095e+02,5.472196e+03,4.676680e+03,3.623232e+03,8.209344e-01,1.047228e+02
4.094915e+02,7.759771e+02,5.756972e+03,4.919493e+03,3.810771e+03,8.061022e-01,1.026368e+02
4.498433e+02,8.229228e+02,6.069415e+03,5.185944e+03,4.016618e+03,7.915379e-01,1.007378e+02
4.941713e+02,8.727087e+02,6.412227e+03,5.478344e+03,4.242563e+03,7.772368e-01,9.900925e+01
5.428675e+02,9.255065e+02,6.788370e+03,5.799229e+03,4.490576e+03,7.631941e-01,9.743572e+01
5.963623e+02,9.814986e+02,7.201098e+03,6.151384e+03,4.762818e+03,7.494051e-01,9.600333e+01
6.551286e+02,1.040878e+03,7.653984e+03,6.537865e+03,5.061662e+03,7.358652e-01,9.469944e+01
7.196857e+02,1.103850e+03,8.150949e+03,6.962029e+03,5.389713e+03,7.225699e-01,9.351250e+01
7.906043e+02,1.170632e+03,8.696296e+03,7.427562e+03,5.749834e+03,7.095149e-01,9.243204e+01
8.685114e+02,1.241454e+03,9.294753e+03,7.938509e+03,6.145166e+03,6.966957e-01,9.144849e+01
9.540955e+02,1.316560e+03,9.951507e+03,8.499313e+03,6.579159e+03,6.841082e-01,9.055317e+01
1.048113e+03,1.396211e+03,1.067225e+04,9.114852e+03,7.055602e+03,6.717481e-01,8.973817e+01
1.151395e+03,1.480680e+03,1.146325e+04,9.790479e+03,7.578655e+03,6.596112e-01,8.899627e+01
1.264855e+03,1.570259e+03,1.233135e+04,1.053207e+04,8.152885e+03,6.476937e-01,8.832092e+01
1.389495e+03,1.665258e+03,1.328411e+04,1.134610e+04,8.783309e+03,6.359915e-01,8.770615e+01
1.526418e+03,1.766004e+03,1.432979e+04,1.223963e+04,9.475436e+03,6.245007e-01,8.714652e+01
1.676833e+03,1.872845e+03,1.547747e+04,1.322046e+04,1.023531e+04,6.132176e-01,8.663710e+01
1.842070e+03,1.986150e+03,1.673714e+04,1.429713e+04,1.106958e+04,6.021382e-01,8.617337e+01
2.023590e+03,2.106310e+03,1.811975e+04,1.547903e+04,1.198554e+04,5.912591e-01,8.575124e+01
2.222996e+03,2.233740e+03,1.963732e+04,1.677645e+04,1.299120e+04,5.805765e-01,8.536698e+01
2.442053e+03,2.368878e+03,2.130305e+04,1.820072e+04,1.409534e+04,5.700870e-01,8.501718e+01
2.682696e+03,2.512193e+03,2.313145e+04,1.976425e+04,1.530765e+04,5.597869e-01,8.469876e+01
2.947052e+03,2.664178e+03,2.513841e+04,2.148069e+04,1.663871e+04,5.496730e-01,8.440891e+01
3.237458e+03,2.825357e+03,2.734144e+04,2.336501e+04,1.810018e+04,5.397417e-01,8.414505e+01
3.556480e+03,2.996288e+03,2.975971e+04,2.543368e+04,1.970486e+04,5.299900e-01,8.390486e+01
3.906940e+03,3.177560e+03,3.241429e+04,2.770473e+04,2.146680e+04,5.204144e-01,8.368622e+01
4.291934e+03,3.369799e+03,3.532833e+04,3.019803e+04,2.340142e+04,5.110118e-01,8.348719e+01
4.714866e+03,3.573668e+03,3.852724e+04,3.293533e+04,2.552567e+04,5.017791e-01,8.330602e+01
5.179475e+03,3.789871e+03,4.203890e+04,3.594057e+04,2.785815e+04,4.927132e-01,8.314109e+01
5.689866e+03,4.019154e+03,4.589395e+04,3.924001e+04,3.041932e+04,4.838111e-01,8.299096e+01
6.250552e+03,4.262308e+03,5.012604e+04,4.286250e+04,3.323161e+04,4.750698e-01,8.285430e+01
6.866488e+03,4.520172e+03,5.477210e+04,4.683971e+04,3.631967e+04,4.664865e-01,8.272990e+01
7.543120e+03,4.793638e+03,5.987270e+04,5.120642e+04,3.971059e+04,4.580582e-01,8.261665e+01
8.286428e+03,5.083647e+03,6.547239e+04,5.600084e+04,4.343408e+04,4.497823e-01,8.251356e+01
9.102982e+03,5.391202e+03,7.162007e+04,6.126492e+04,4.752281e+04,4.416558e-01,8.241972e+01
1.000000e+04,5.717364e+03,7.836947e+04,6.704474e+04,5.201263e+04,4.336762e-01,8.233430e+01
