Re_hot,U_bare,U_packed_lower,U_packed_nominal,U_packed_upper
1.000000e+02,1.296099e+02,2.038889e+02,2.018248e+02,1.978196e+02
1.105579e+02,1.386203e+02,2.181062e+02,2.158001e+02,2.113311e+02
1.222305e+02,1.482548e+02,2.333144e+02,2.307426e+02,2.257655e+02
1.351354e+02,1.585565e+02,2.495867e+02,2.467242e+02,2.411917e+02
1.494029e+02,1.695715e+02,2.670024e+02,2.638225e+02,2.576847e+02
1.651767e+02,1.813489e+02,2.856476e+02,2.821223e+02,2.753264e+02
1.826158e+02,1.939413e+02,3.056157e+02,3.017154e+02,2.942061e+02
2.018962e+02,2.074048e+02,3.270080e+02,3.227020e+02,3.144214e+02
2.232122e+02,2.217995e+02,3.499346e+02,3.451906e+02,3.360784e+02
2.467787e+02,2.371894e+02,3.745146e+02,3.692993e+02,3.592926e+02
2.728333e+02,2.536431e+02,4.008771e+02,3.951559e+02,3.841899e+02
3.016388e+02,2.712337e+02,4.291618e+02,4.228992e+02,4.109067e+02
3.334855e+02,2.900395e+02,4.595198e+02,4.526791e+02,4.395910e+02
3.686945e+02,3.101440e+02,4.921140e+02,4.846578e+02,4.704032e+02
4.076209e+02,3.316365e+02,5.271205e+02,5.190104e+02,5.035166e+02
4.506570e+02,3.546123e+02,5.647287e+02,5.559258e+02,5.391182e+02
4.982369e+02,3.791734e+02,6.051428e+02,5.956071e+02,5.774098e+02
5.508402e+02,4.054284e+02,6.485819e+02,6.382731e+02,6.186083e+02
6.089973e+02,4.334937e+02,6.952818e+02,6.841587e+02,6.629472e+02
6.732946e+02,4.634934e+02,7.454953e+02,7.335163e+02,7.106773e+02
7.443803e+02,4.955601e+02,7.994937e+02,7.866164e+02,7.620675e+02
8.229712e+02,5.298355e+02,8.575677e+02,8.437492e+02,8.174065e+02
9.098596e+02,5.664706e+02,9.200290e+02,9.052256e+02,8.770033e+02
1.005922e+03,6.056272e+02,9.872112e+02,9.713785e+02,9.411892e+02
1.112126e+03,6.474776e+02,1.059471e+03,1.042564e+03,1.010319e+03
1.229543e+03,6.922060e+02,1.137192e+03,1.119165e+03,1.084772e+03
1.359356e+03,7.400090e+02,1.220783e+03,1.201588e+03,1.164954e+03
1.502876e+03,7.910966e+02,1.310682e+03,1.290272e+03,1.251301e+03
1.661548e+03,8.456929e+02,1.407358e+03,1.385684e+03,1.344277e+03
1.836972e+03,9.040372e+02,1.511313e+03,1.488324e+03,1.444381e+03
2.030918e+03,9.663847e+02,1.623084e+03,1.598728e+03,1.552146e+03
2.245340e+03,1.033008e+03,1.743245e+03,1.717470e+03,1.668141e+03
2.482400e+03,1.104198e+03,1.872412e+03,1.845163e+03,1.792977e+03
2.744489e+03,1.180266e+03,2.011242e+03,1.982462e+03,1.927306e+03
3.034249e+03,1.261541e+03,2.160439e+03,2.130072e+03,2.071829e+03
3.354602e+03,1.348379e+03,2.320758e+03,2.288743e+03,2.227291e+03
3.708777e+03,1.441155e+03,2.493004e+03,2.459279e+03,2.394495e+03
4.100346e+03,1.540273e+03,2.678039e+03,2.642541e+03,2.574294e+03
4.533256e+03,1.646160e+03,2.876786e+03,2.839448e+03,2.767607e+03
5.011872e+03,1.759275e+03,3.090231e+03,3.050986e+03,2.975412e+03
