Re_channel,h_bare,h_packed_lower,h_packed_nominal,h_packed_upper,f_bare,f_packed
1.000000e+02,3.215110e+02,3.339040e+03,3.788668e+03,3.992622e+03,1.059658e+00,1.681540e+02
1.098541e+02,3.409620e+02,3.417129e+03,3.876871e+03,4.085014e+03,1.040512e+00,1.603781e+02
1.206793e+02,3.615898e+02,3.502754e+03,3.973587e+03,4.186333e+03,1.021713e+00,1.532997e+02
1.325711e+02,3.834656e+02,3.596647e+03,4.079641e+03,4.297443e+03,1.003253e+00,1.468562e+02
1.456348e+02,4.066648e+02,3.699610e+03,4.195938e+03,4.419295e+03,9.851268e-01,1.409907e+02
1.599859e+02,4.312676e+02,3.812525e+03,4.323474e+03,4.552930e+03,9.673280e-01,1.356513e+02
1.757511e+02,4.573588e+02,3.936360e+03,4.463337e+03,4.699492e+03,9.498508e-01,1.307910e+02
1.930698e+02,4.850285e+02,4.072177e+03,4.616727e+03,4.860235e+03,9.326894e-01,1.263665e+02
2.120951e+02,5.143722e+02,4.221141e+03,4.784954e+03,5.036533e+03,9.158380e-01,1.223390e+02
2.329952e+02,5.454911e+02,4.384534e+03,4.969461e+03,5.229896e+03,8.992911e-01,1.186728e+02
2.559548e+02,5.784927e+02,4.563760e+03,5.171828e+03,5.441977e+03,8.830431e-01,1.153354e+02
2.811769e+02,6.134908e+02,4.760361e+03,5.393789e+03,5.674592e+03,8.670888e-01,1.122974e+02
3.088844e+02,6.506063e+02,4.976032e+03,5.637247e+03,5.929729e+03,8.514226e-01,1.095319e+02
3.393222e+02,6.899672e+02,5.212630e+03,5.904289e+03,6.209571e+03,8.360396e-01,1.070144e+02
3.727594e+02,7.317095e+02,5.472196e+03,6.197204e+03,6.516510e+03,8.209344e-01,1.047228e+02
4.094915e+02,7.759771e+02,5.756972e+03,6.518502e+03,6.853165e+03,8.061022e-01,1.026368e+02
4.498433e+02,8.229228e+02,6.069415e+03,6.870939e+03,7.222411e+03,7.915379e-01,1.007378e+02
4.941713e+02,8.727087e+02,6.412227e+03,7.257533e+03,7.627396e+03,7.772368e-01,9.900925e+01
5.428675e+02,9.255065e+02,6.788370e+03,7.681595e+03,8.071570e+03,7.631941e-01,9.743572e+01
5.963623e+02,9.814986e+02,7.201098e+03,8.146756e+03,8.558710e+03,7.494051e-01,9.600333e+01
6.551286e+02,1.040878e+03,7.653984e+03,8.656997e+03,9.092954e+03,7.358652e-01,9.469944e+01
7.196857e+02,1.103850e+03,8.150949e+03,9.216678e+03,9.678835e+03,7.225699e-01,9.351250e+01
7.906043e+02,1.170632e+03,8.696296e+03,9.830583e+03,1.032131e+04,7.095149e-01,9.243204e+01
8.685114e+02,1.241454e+03,9.294753e+03,1.050395e+04,1.102581e+04,6.966957e-01,9.144849e+01
9.540955e+02,1.316560e+03,9.951507e+03,1.124252e+04,1.179827e+04,6.841082e-01,9.055317e+01
1.048113e+03,1.396211e+03,1.067225e+04,1.205258e+04,1.264520e+04,6.717481e-01,8.973817e+01
1.151395e+03,1.480680e+03,1.146325e+04,1.294103e+04,1.357369e+04,6.596112e-01,8.899627e+01
1.264855e+03,1.570259e+03,1.233135e+04,1.391539e+04,1.459150e+04,6.476937e-01,8.832092e+01
1.389495e+03,1.665258e+03,1.328411e+04,1.498395e+04,1.570714e+04,6.359915e-01,8.770615e+01
1.526418e+03,1.766004e+03,1.432979e+04,1.615574e+04,1.692986e+04,6.245007e-01,8.714652e+01
1.676833e+03,1.872845e+03,1.547747e+04,1.744065e+04,1.826978e+04,6.132176e-01,8.663710e+01
1.842070e+03,1.986150e+03,1.673714e+04,1.884952e+04,1.973796e+04,6.021382e-01,8.617337e+01
2.023590e+03,2.106310e+03,1.811975e+04,2.039420e+04,2.134645e+04,5.912591e-01,8.575124e+01
2.222996e+03,2.233740e+03,1.963732e+04,2.208765e+04,2.310839e+04,5.805765e-01,8.536698e+01
2.442053e+03,2.368878e+03,2.130305e+04,2.394404e+04,2.503811e+04,5.700870e-01,8.501718e+01
2.682696e+03,2.512193e+03,2.313145e+04,2.597886e+04,2.715122e+04,5.597869e-01,8.469876e+01
2.947052e+03,2.664178e+03,2.513841e+04,2.820904e+04,2.946472e+04,5.496730e-01,8.440891e+01
3.237458e+03,2.825357e+03,2.734144e+04,3.065310e+04,3.199711e+04,5.397417e-01,8.414505e+01
3.556480e+03,2.996288e+03,2.975971e+04,3.333124e+04,3.476852e+04,5.299900e-01,8.390486e+01
3.906940e+03,3.177560e+03,3.241429e+04,3.626554e+04,3.780086e+04,5.204144e-01,8.368622e+01
4.291934e+03,3.369799e+03,3.532833e+04,3.948011e+04,4.111790e+04,5.110118e-01,8.348719e+01
4.714866e+03,3.573668e+03,3.852724e+04,4.300126e+04,4.474550e+04,5.017791e-01,8.330602e+01
5.179475e+03,3.789871e+03,4.203890e+04,4.685773e+04,4.871174e+04,4.927132e-01,8.314109e+01
5.689866e+03,4.019154e+03,4.589395e+04,5.108087e+04,5.304710e+04,4.838111e-01,8.299096e+01
6.250552e+03,4.262308e+03,5.012604e+04,5.570489e+04,5.778468e+04,4.750698e-01,8.285430e+01
6.866488e+03,4.520172e+03,5.477210e+04,6.076713e+04,6.296039e+04,4.664865e-01,8.272990e+01
7.543120e+03,4.793638e+03,5.987270e+04,6.630835e+04,6.861320e+04,4.580582e-01,8.261665e+01
