Re,j_Gyroid,f_Gyroid,Nu_Gyroid,j_Diamond,f_Diamond,Nu_Diamond,j_Primitive,f_Primitive,Nu_Primitive,j_Neovius,f_Neovius,Nu_Neovius,j_FRD,f_FRD,Nu_FRD,j_FKS,f_FKS,Nu_FKS,j_SmoothPlateFin,f_SmoothPlateFin,Nu_SmoothPlateFin,PEC_Gyroid,PEC_Diamond,PEC_Primitive,PEC_Neovius,PEC_FRD,PEC_FKS
1.000000e+02,8.093803e-02,9.952679e-01,7.186520e+00,7.102259e-02,1.059658e+00,6.306124e+00,3.132343e-02,1.264911e+00,2.781220e+00,3.732162e-02,1.255943e+00,3.313802e+00,5.929124e-02,1.194322e+00,5.264493e+00,8.427069e-02,1.154231e+00,7.482428e+00,4.122067e-02,1.600000e-01,3.660000e+00,1.067655e+00,9.174863e-01,3.814529e-01,4.555774e-01,7.359953e-01,1.058044e+00
1.081181e+02,7.906603e-02,9.798517e-01,7.590218e+00,6.897388e-02,1.043733e+00,6.621387e+00,3.071813e-02,1.240468e+00,2.948893e+00,3.645785e-02,1.226876e+00,3.499898e+00,5.769340e-02,1.175822e+00,5.538478e+00,8.174406e-02,1.142275e+00,7.847305e+00,3.812561e-02,1.479864e-01,3.660000e+00,1.104401e+00,9.433626e-01,3.966341e-01,4.724777e-01,7.583495e-01,1.084900e+00
1.168952e+02,7.723732e-02,9.646743e-01,8.016593e+00,6.698426e-02,1.028047e+00,6.952410e+00,3.012452e-02,1.216496e+00,3.126675e+00,3.561407e-02,1.198481e+00,3.696444e+00,5.613862e-02,1.157609e+00,5.826723e+00,7.929319e-02,1.130443e+00,8.229975e+00,3.526294e-02,1.368748e-01,3.660000e+00,1.142413e+00,9.699688e-01,4.124195e-01,4.900050e-01,7.813826e-01,1.112438e+00
1.263848e+02,7.545091e-02,9.497319e-01,8.466920e+00,6.505204e-02,1.012597e+00,7.299983e+00,2.954238e-02,1.192989e+00,3.315175e+00,3.478981e-02,1.170743e+00,3.904029e+00,5.462574e-02,1.139678e+00,6.129969e+00,7.691579e-02,1.118733e+00,8.631305e+00,3.261521e-02,1.265975e-01,3.660000e+00,1.181732e+00,9.973253e-01,4.288331e-01,5.081826e-01,8.051153e-01,1.140674e+00
1.366448e+02,7.370582e-02,9.350210e-01,8.942543e+00,6.317555e-02,9.973797e-01,7.664932e+00,2.897150e-02,1.169935e+00,3.515039e+00,3.398463e-02,1.143647e+00,4.123270e+00,5.315363e-02,1.122025e+00,6.448997e+00,7.460968e-02,1.107145e+00,9.052206e+00,3.016629e-02,1.170919e-01,3.660000e+00,1.222405e+00,1.025453e+00,4.459000e-01,5.270344e-01,8.295689e-01,1.169627e+00
1.477378e+02,7.200109e-02,9.205380e-01,9.444884e+00,6.135320e-02,9.823907e-01,8.048125e+00,2.841165e-02,1.147327e+00,3.726953e+00,3.319809e-02,1.117178e+00,4.354824e+00,5.172119e-02,1.104646e+00,6.784628e+00,7.237271e-02,1.095677e+00,9.493632e+00,2.790124e-02,1.083000e-01,3.660000e+00,1.264478e+00,1.054375e+00,4.636461e-01,5.465856e-01,8.547651e-01,1.199315e+00
1.597312e+02,7.033579e-02,9.062793e-01,9.975444e+00,5.958341e-02,9.676270e-01,8.450476e+00,2.786261e-02,1.125155e+00,3.951643e+00,3.242975e-02,1.091322e+00,4.599382e+00,5.032735e-02,1.087535e+00,7.137727e+00,7.020281e-02,1.084327e+00,9.956584e+00,2.580627e-02,1.001683e-01,3.660000e+00,1.307998e+00,1.084112e+00,4.820985e-01,5.668620e-01,8.807267e-01,1.229757e+00
1.726983e+02,6.870900e-02,8.922414e-01,1.053581e+01,5.786467e-02,9.530851e-01,8.872941e+00,2.732419e-02,1.103413e+00,4.189878e+00,3.167919e-02,1.066065e+00,4.857673e+00,4.897108e-02,1.070690e+00,7.509203e+00,6.809797e-02,1.073096e+00,1.044211e+01,2.386860e-02,9.264710e-02,3.660000e+00,1.353017e+00,1.114688e+00,5.012853e-01,5.878907e-01,9.074767e-01,1.260971e+00
1.867181e+02,6.711985e-02,8.784210e-01,1.112765e+01,5.619551e-02,9.387618e-01,9.316527e+00,2.679617e-02,1.082090e+00,4.442476e+00,3.094601e-02,1.041392e+00,5.130469e+00,4.765136e-02,1.054105e+00,7.900012e+00,6.605624e-02,1.061980e+00,1.095132e+01,2.207642e-02,8.569067e-02,3.660000e+00,1.399585e+00,1.146126e+00,5.212356e-01,6.096994e-01,9.350393e-01,1.292977e+00
2.018760e+02,6.556744e-02,8.648147e-01,1.175274e+01,5.457450e-02,9.246538e-01,9.782289e+00,2.627835e-02,1.061179e+00,4.710303e+00,3.022979e-02,1.017290e+00,5.418585e+00,4.636720e-02,1.037778e+00,8.311160e+00,6.407572e-02,1.050980e+00,1.148535e+01,2.041881e-02,7.925656e-02,3.660000e+00,1.447756e+00,1.178451e+00,5.419800e-01,6.323172e-01,9.634389e-01,1.325796e+00
