a_mm,Dh_mm,Re,PEC_Gyroid,j_Gyroid,f_Gyroid,PEC_Diamond,j_Diamond,f_Diamond,PEC_Primitive,j_Primitive,f_Primitive,PEC_Neovius,j_Neovius,f_Neovius,PEC_FRD,j_FRD,f_FRD,PEC_FKS,j_FKS,f_FKS,j_SmoothPlateFin,f_SmoothPlateFin
2.000000e+00,8.276057e-01,8.276057e+01,9.835685e-01,8.566219e-02,1.033654e+00,8.576643e-01,7.624524e-02,1.099279e+00,3.470185e-01,3.284078e-02,1.326185e+00,4.170740e-01,3.950149e-02,1.329300e+00,6.845009e-01,6.335083e-02,1.240385e+00,9.956674e-01,9.072467e-02,1.183736e+00,4.980714e-02,1.933288e-01
2.275862e+00,9.417582e-01,9.417582e+01,1.040238e+00,8.240728e-02,1.007284e+00,8.980765e-01,7.263890e-02,1.072066e+00,3.701780e-01,3.179687e-02,1.284030e+00,4.429967e-01,3.799957e-02,1.278757e+00,7.192587e-01,6.054966e-02,1.208741e+00,1.037851e+00,8.626610e-02,1.163507e+00,4.376991e-02,1.698950e-01
2.551724e+00,1.055911e+00,1.055911e+02,1.093136e+00,7.962862e-02,9.844974e-01,9.354460e-01,6.958831e-02,1.048533e+00,3.919715e-01,3.090028e-02,1.247824e+00,4.672918e-01,3.671744e-02,1.235611e+00,7.515054e-01,5.817294e-02,1.181397e+00,1.076692e+00,8.250152e-02,1.145884e+00,3.903803e-02,1.515280e-01
2.827586e+00,1.170063e+00,1.170063e+02,1.142883e+00,7.721532e-02,9.644909e-01,9.702973e-01,6.696040e-02,1.027858e+00,4.126155e-01,3.011736e-02,1.216207e+00,4.902224e-01,3.560391e-02,1.198139e+00,7.816673e-01,5.611995e-02,1.157389e+00,1.112777e+00,7.926380e-02,1.130299e+00,3.522944e-02,1.367447e-01
3.103448e+00,1.284216e+00,1.284216e+02,1.189951e+00,7.509015e-02,9.467001e-01,1.003023e+00,6.466321e-02,1.009462e+00,4.322748e-01,2.942455e-02,1.188230e+00,5.119881e-01,3.462335e-02,1.165141e+00,8.100645e-01,5.432094e-02,1.136040e+00,1.146545e+00,7.643772e-02,1.116350e+00,3.209793e-02,1.245897e-01
3.379310e+00,1.398368e+00,1.398368e+02,1.234704e+00,7.319734e-02,9.307128e-01,1.033926e+00,6.263087e-02,9.929217e-01,4.510780e-01,2.880474e-02,1.163201e+00,5.327444e-01,3.375002e-02,1.135752e+00,8.369445e-01,5.272578e-02,1.116855e+00,1.178332e+00,7.394080e-02,1.103740e+00,2.947769e-02,1.144191e-01
3.655172e+00,1.512521e+00,1.512521e+02,1.277431e+00,7.149541e-02,9.162199e-01,1.063245e+00,6.081469e-02,9.779205e-01,4.691282e-01,2.824515e-02,1.140603e+00,5.526151e-01,3.296478e-02,1.109327e+00,8.625029e-01,5.129737e-02,1.099464e+00,1.208404e+00,7.171220e-02,1.092246e+00,2.725296e-02,1.057837e-01
3.931034e+00,1.626673e+00,1.626673e+02,1.318368e+00,6.995275e-02,9.029838e-01,1.091171e+00,5.917781e-02,9.642138e-01,4.865092e-01,2.773602e-02,1.120044e+00,5.717010e-01,3.225302e-02,1.085375e+00,8.868976e-01,5.000753e-02,1.083581e+00,1.236971e+00,6.970588e-02,1.081696e+00,2.534047e-02,9.836026e-02
4.206897e+00,1.740826e+00,1.740826e+02,1.357708e+00,6.854475e-02,8.908179e-01,1.117863e+00,5.769169e-02,9.516102e-01,5.032903e-01,2.726971e-02,1.101213e+00,5.900850e-01,3.160341e-02,1.063514e+00,9.102582e-01,4.883444e-02,1.068982e+00,1.264208e+00,6.788627e-02,1.071953e+00,2.367880e-02,9.191040e-02
4.482759e+00,1.854978e+00,1.854978e+02,1.395612e+00,6.725192e-02,8.795737e-01,1.143451e+00,5.633385e-02,9.399567e-01,5.195296e-01,2.684013e-02,1.083865e+00,6.078367e-01,3.100694e-02,1.043442e+00,9.326920e-01,4.776084e-02,1.055488e+00,1.290258e+00,6.622537e-02,1.062909e+00,2.222165e-02,8.625438e-02
